Permutation	/Users/alex/Desktop/BioNetFit_v1/examples/example5/example5_example5
perm20	2874653.55780365
perm38	2879956.05065581
perm48	2880136.39724788
perm4	2880142.88448542
perm24	2880142.99988826
perm2	2884690.79321594
perm37	2888670.39835832
perm39	2894304.49476392
perm10	2904263.62322268
perm19	2904273.78927528
perm40	2904341.43950151
perm35	2904631.82869163
perm1	2906880.42896795
perm17	2907050.99265876
perm16	2909317.22858176
perm46	2909859.09686265
perm50	2911332.33326783
perm43	2911350.01278044
perm18	2911451.16998475
perm34	2911485.8860544
perm42	2911485.95321385
perm36	2915473.05208162
perm6	2915490.29076787
perm9	2915490.79997468
perm11	2916518.95849817
perm47	2916666.97823163
perm41	2916765.77481814
perm22	2916879.6579898
perm23	2916882.52539686
perm31	2921087.79933822
perm3	2924333.12776607
perm5	2927183.15481357
perm32	2931859.50934192
perm49	2941531.44330667
perm30	2955146.3849193
perm15	2979761.91040658
perm25	2981576.49556339
perm7	2993270.125571
perm27	3006616.24430456
perm44	3016136.48685305
perm29	3035681.38596917
perm45	3036081.22584801
perm13	3044137.15128539
perm14	3055451.14237071
perm26	3252620.85468381
perm12	3318057.06276748
perm8	3360061.54051439
perm28	3403634.38555559
perm21	3439300.47590942
perm33	3550212.57929041
