Permutation	/Users/alex/Desktop/BioNetFit_v1/examples/example5/example5_example5
perm1	2711555.60092307
perm20	2713488.24619979
perm5	2713585.74829648
perm41	2715488.98048149
perm25	2721818.85692203
perm13	2721819.53458914
perm39	2721819.60625442
perm26	2721820.9002171
perm45	2722188.70595014
perm17	2722193.09470047
perm38	2722193.66128662
perm6	2722536.5910782
perm10	2723361.21204493
perm36	2723533.84454725
perm18	2724286.50131382
perm44	2724290.34793844
perm9	2724337.31048507
perm27	2725502.30804996
perm19	2726716.25758351
perm35	2727196.91354138
perm3	2730710.03940996
perm37	2731291.36650545
perm29	2731960.73785959
perm42	2731982.1227672
perm43	2738143.22636779
perm33	2739486.77330649
perm46	2742161.6379463
perm47	2758247.19899002
perm12	2764232.3530706
perm15	2769480.71722295
perm2	2772573.44505376
perm14	2784650.88483781
perm7	2797998.4407647
perm28	2800340.01535112
perm11	2800959.84542959
perm49	2803105.99515579
perm31	2826127.60449152
perm34	2838330.17819957
perm16	2888897.40038303
perm4	2898980.61711983
perm50	2932497.39997465
perm30	2937218.61728529
perm40	2951890.81133767
perm23	2960375.31354156
perm21	2982643.01458077
perm22	2997697.35102708
perm24	3154140.69502559
perm8	3313972.53144142
perm48	3544981.23153813
perm32	3656933.08452574
