Permutation Chi-Sq K2RT__FREE__ KD1__FREE__ kdephos__FREE__ km1__FREE__ km2__FREE__ kphos__FREE__
gen24perm8 1704.1904551387756328 1.95905872e+00 1.59620503e-02 4.20213350e-02 2.35144081e-02 2.49590599e+02 8.87031906e-02
gen23perm50 1707.4758343682535724 1.95905872e+00 1.19340077e-02 4.18272368e-02 2.18548782e-02 2.11534619e+02 8.91109450e-02
gen23perm39 1707.8883003016535440 1.95905872e+00 1.23694951e-02 4.20213350e-02 2.59880515e+00 1.79503307e+02 8.74650364e-02
gen24perm25 1708.5565045345822455 1.92010085e+00 1.49010118e-02 4.18272368e-02 2.18548782e-02 2.49590599e+02 8.91109450e-02
gen24perm22 1711.4567516367765165 1.95905872e+00 1.19340077e-02 4.33285076e-02 2.18548782e-02 2.43853847e+02 8.91109450e-02
gen24perm5 1712.8703328598537610 1.92193351e+00 1.22585521e-02 4.05904960e-02 2.78577191e+00 1.80029213e+02 8.71342622e-02
gen23perm31 1714.5444922138976835 1.91753241e+00 1.19340077e-02 4.05904960e-02 2.15974289e-02 1.79503307e+02 8.74650364e-02
gen24perm3 1714.5445181232710183 1.91753241e+00 1.22197859e-02 4.05904960e-02 2.35144081e-02 1.79503307e+02 8.74650364e-02
gen23perm16 1714.5460271639162784 1.92010085e+00 1.49377995e-02 4.05904960e-02 2.35144081e-02 2.49590599e+02 8.74650364e-02
gen24perm19 1714.6670643291672604 1.86525339e+00 1.12874198e-02 4.18272368e-02 2.18548782e-02 1.80029213e+02 9.03412688e-02
gen24perm35 1714.7355995560160409 1.92998914e+00 1.46200335e-02 4.05904960e-02 2.15974289e-02 1.94209130e+02 8.74650364e-02
gen24perm46 1714.8287779080144446 1.88494492e+00 1.12874198e-02 4.09136123e-02 1.97914993e-02 2.39522704e+02 8.74650364e-02
gen21perm28 1716.4585739936817390 1.95905872e+00 1.19340077e-02 4.05904960e-02 2.78577191e+00 1.79503307e+02 8.74650364e-02
gen23perm23 1716.4585777436070657 1.95905872e+00 1.19340077e-02 4.05904960e-02 2.78577191e+00 1.79503307e+02 8.74650364e-02
gen22perm34 1716.4633357567472558 1.95905872e+00 1.12874198e-02 4.05904960e-02 2.35144081e-02 2.11534619e+02 8.74650364e-02
gen23perm24 1716.4633359064432625 1.95905872e+00 1.12874198e-02 4.05904960e-02 2.33029736e-02 2.11534619e+02 8.74650364e-02
gen24perm26 1716.4635080026050673 1.95905872e+00 1.27232644e-02 4.05904960e-02 2.35144081e-02 2.11534619e+02 8.74650364e-02
gen23perm17 1716.4645138433563716 1.95905872e+00 1.37368553e-02 4.05904960e-02 2.35144081e-02 2.18690162e+02 8.74650364e-02
gen24perm48 1716.4665377035883012 1.95905872e+00 1.16672931e-02 4.05904960e-02 2.78577191e+00 2.39522704e+02 8.74650364e-02
gen23perm32 1716.4665520777430174 1.95905872e+00 1.16672931e-02 4.05904960e-02 2.78577191e+00 2.39522704e+02 8.74650364e-02
gen24perm1 1716.4665725343240865 1.95905872e+00 1.16672931e-02 4.05904960e-02 2.15974289e-02 2.39522704e+02 8.74650364e-02
gen24perm39 1717.5169356947426422 1.86525339e+00 1.12874198e-02 4.05904960e-02 2.15974289e-02 2.35047980e+02 8.74650364e-02
gen23perm35 1717.5169356947426422 1.86525339e+00 1.12874198e-02 4.05904960e-02 2.15974289e-02 2.35047980e+02 8.74650364e-02
gen22perm20 1717.5170368586177574 1.86525339e+00 1.19340077e-02 4.05904960e-02 2.15974289e-02 2.35047980e+02 8.74650364e-02
gen24perm40 1717.5291280753594947 1.86525339e+00 1.05928876e-02 4.05904960e-02 2.15974289e-02 2.11534619e+02 8.74650364e-02
gen23perm44 1717.5291976007742960 1.86525339e+00 1.12874198e-02 4.05904960e-02 2.35144081e-02 2.11534619e+02 8.74650364e-02
gen21perm40 1717.5292189133929242 1.86525339e+00 1.12874198e-02 4.05904960e-02 2.15974289e-02 2.11534619e+02 8.74650364e-02
