Permutation	/Users/alex/Desktop/BioNetFit_v1/examples/example5/example5_example5
perm11	2768049.15371616
perm43	2769030.79088451
perm36	2775271.0473285
perm23	2775422.84551374
perm18	2775537.92881925
perm32	2776538.86508695
perm14	2777174.50416749
perm41	2777175.18100457
perm48	2777175.24963688
perm40	2785430.14397864
perm9	2785561.5759507
perm37	2786234.73910742
perm13	2786341.50566403
perm20	2786341.70904313
perm16	2786370.53252603
perm12	2790075.60732544
perm10	2790076.81831169
perm28	2790889.33343474
perm19	2793210.03974858
perm39	2794946.57113602
perm25	2795569.17043843
perm17	2795591.62707065
perm4	2795805.11050317
perm38	2796878.15735032
perm49	2800259.62595262
perm31	2802362.91630953
perm33	2804462.83035897
perm47	2804838.29046609
perm3	2806355.31955433
perm29	2807387.60051831
perm34	2808641.27428448
perm30	2814997.06039248
perm8	2835889.90103049
perm2	2838597.14897863
perm6	2841998.97356364
perm45	2877165.47016673
perm26	2895512.47254167
perm22	2905221.58754666
perm15	2981944.73070889
perm27	3092104.82229339
perm44	3108692.83142005
perm5	3146166.74148515
perm1	3166143.04390038
perm46	3276321.03236402
perm35	3306178.74465024
perm7	3333288.05891996
perm42	3457396.99748534
perm21	3680202.75129559
perm24	3741740.13267481
perm50	4086434.84590694
