Permutation	/Users/alex/Desktop/BioNetFit_v1/examples/example5/example5_example5
perm45	2713126.52993951
perm50	2720900.12805076
perm26	2721819.39546529
perm2	2721820.21033255
perm28	2721820.29079759
perm33	2722146.12865959
perm21	2722189.66031642
perm18	2722192.81410374
perm24	2722194.42096134
perm6	2722399.91657527
perm44	2722536.17074688
perm5	2723642.73475111
perm48	2723829.38608946
perm41	2724290.75101837
perm27	2724291.73901281
perm3	2724297.92261948
perm36	2725739.40173569
perm42	2725741.61432492
perm47	2725750.80117183
perm15	2726713.24499642
perm39	2726716.6645176
perm38	2726735.280446
perm4	2729372.57181195
perm46	2731870.11620582
perm10	2733733.67892364
perm9	2733947.42603162
perm8	2734487.73689986
perm35	2750682.2457929
perm25	2759001.83428769
perm22	2776378.11807076
perm19	2782253.71075261
perm13	2789407.29590434
perm7	2840918.46339311
perm20	2840973.95107564
perm43	2842935.03956591
perm40	2849384.91460425
perm17	2857870.46914146
perm30	2881814.18044388
perm11	2881856.8964291
perm23	2917151.91677362
perm12	2935539.20116949
perm31	2941288.31836179
perm29	2941786.471801
perm1	3021310.70055722
perm34	3137980.13155605
perm49	3149928.47609257
perm14	3159903.08243048
perm16	3272981.89793804
perm37	3279900.83604984
perm32	3422212.97346786
