Permutation	/Users/alex/Desktop/BioNetFit_v1/examples/example5/example5_example5
perm23	2769016.38894542
perm4	2776538.8423423
perm29	2777175.19937496
perm38	2785439.79333321
perm24	2785575.92221319
perm48	2786341.86216448
perm50	2786896.79941024
perm30	2790049.8375838
perm34	2790075.66902663
perm7	2790889.34393765
perm12	2793209.88351353
perm37	2795809.8211446
perm20	2795810.03257386
perm32	2801546.84498689
perm11	2804325.79548882
perm26	2804387.20856421
perm40	2804702.85935553
perm33	2806128.5006946
perm31	2806438.16005998
perm45	2808441.69058443
perm18	2811053.95698717
perm22	2811056.21091067
perm21	2811072.82075197
perm13	2811090.1914546
perm46	2814477.73291303
perm9	2822201.0681235
perm49	2827806.44332816
perm47	2830750.75306292
perm16	2841122.76677992
perm8	2854946.52019029
perm41	2859954.0879128
perm19	2867894.49777023
perm15	2949872.87711248
perm6	2967983.49640597
perm3	2994504.09221393
perm42	3001775.95076526
perm2	3005717.73360497
perm27	3060153.6355137
perm17	3065900.08503661
perm35	3070164.73519826
perm39	3078143.31207266
perm36	3096789.64998808
perm28	3111790.86720517
perm5	3127392.08481899
perm43	3198384.0640792
perm44	3204234.69545473
perm25	3240505.0055092
perm10	3427729.40097843
perm1	3645072.44914615
perm14	3854411.07932937
