Permutation	/Users/alex/Desktop/BioNetFit_v1/examples/example5/example5_example5
perm7	4537763.57618496
perm24	14067649.1837774
perm38	16125470.4051635
perm49	27757623.4759943
perm2	29834420.6488735
perm46	37388829.1642244
perm10	49425375.3995704
perm28	96645031.144855
perm20	111225788.990662
perm3	118834618.174324
perm31	123786075.323448
perm23	128662003.776977
perm19	166625905.679134
perm25	186936312.017361
perm12	241858158.380823
perm26	253786912.792322
perm40	253964938.475528
perm8	257277048.884919
perm6	259698243.415637
perm21	276352252.782585
perm30	279594240.590311
perm13	280424967.782826
perm48	283101991.508129
perm39	285689822.173627
perm22	286671613.970355
perm42	288401559.96803
perm11	289267437.080353
perm37	289954506.915237
perm32	290645994.379489
perm45	292142791.980884
perm43	292780904.818919
perm34	293105286.243391
perm15	293196332.174035
perm1	293232440.186073
perm47	293253740.053034
perm50	293268686.355911
perm18	293317849.962829
perm16	293347895.465824
perm36	293372905.627135
perm4	293373906.78184
perm9	293410087.850016
perm14	293417870.911388
perm27	293453703.425279
perm33	293480418.981445
perm17	293599208.878769
perm41	299456685.091547
perm29	328060253.06842
perm44	335647451.782398
perm35	356713020.526393
perm5	357330294.209208
