Permutation	/Users/alex/Desktop/BioNetFit_v1/examples/example5/example5_example5
perm30	2786324.62165919
perm20	2791762.23848828
perm45	2795810.0579266
perm10	2811072.81208507
perm33	2811073.57322295
perm29	2816018.95015172
perm48	2816033.21796736
perm46	2816034.49760622
perm26	2816034.73547808
perm2	2816061.42963818
perm23	2816718.0969351
perm4	2816740.98790537
perm43	2816753.46125702
perm5	2816753.47448621
perm36	2817009.69725127
perm1	2817009.95446999
perm41	2817010.90311248
perm13	2817153.57948667
perm27	2817159.66396536
perm15	2817159.73086621
perm7	2817160.87885526
perm17	2817160.87885526
perm14	2817161.49404417
perm11	2817163.64241631
perm34	2817165.12080588
perm3	2817208.08209753
perm24	2817208.38282614
perm50	2820023.3074643
perm38	2827825.87569485
perm25	2840230.28741918
perm32	2861256.92267004
perm42	2864373.42923073
perm21	2870460.79119178
perm9	2875529.97637866
perm22	2887735.89658952
perm19	2901811.69026317
perm37	2941935.87453548
perm16	2974225.38277312
perm44	3049760.12512932
perm49	3103964.98367802
perm12	3129868.03713106
perm31	3154186.44701454
perm35	3188166.677933
perm6	3246059.18580944
perm18	3295750.81879593
perm8	3319547.61874499
perm28	3413001.59062071
perm39	3440592.18283
perm40	3512309.78499792
perm47	3528344.59046425
