Permutation	/Users/alex/Desktop/BioNetFit_v1/examples/example5/example5_example5
perm47	2722189.65196255
perm6	2725741.61806114
perm15	2728337.22864304
perm39	2729361.83484014
perm27	2731867.39293203
perm5	2731867.6019164
perm33	2731867.61816575
perm1	2731867.69017039
perm43	2731867.80199232
perm37	2731867.94876076
perm13	2731868.19943552
perm19	2731869.05769374
perm40	2731869.23943075
perm36	2732169.16863226
perm17	2737357.52197647
perm18	2740977.26915536
perm45	2740977.30637369
perm34	2740977.57083537
perm25	2740982.38216313
perm9	2740984.63200301
perm2	2745741.15296318
perm38	2746876.431168
perm8	2749370.80465601
perm14	2754765.41541222
perm49	2763684.90211653
perm32	2767779.82237412
perm20	2769007.02699968
perm31	2769014.08684848
perm22	2778498.59331535
perm35	2781874.33311528
perm21	2794377.24863701
perm42	2805336.75255117
perm12	2812108.49724172
perm41	2822447.861346
perm46	2823754.64095602
perm16	2824321.29248368
perm30	2841363.80866729
perm4	2841402.81510803
perm11	2865749.90107081
perm28	2937403.16751328
perm44	3002272.07128015
perm7	3027873.14874922
perm50	3086700.35422478
perm24	3119925.54851838
perm3	3372177.36612518
perm23	3408405.11950716
perm26	3464914.93017963
perm10	3531803.08527511
perm29	4064112.77403127
perm48	4103290.24135396
