Permutation	/Users/alex/Desktop/BioNetFit_v1/examples/example5/example5_example5
perm12	2868773.68135382
perm18	2880143.54600881
perm30	2887802.86766877
perm4	2894304.67276471
perm33	2896738.90096663
perm17	2904365.26345722
perm11	2907498.16907097
perm40	2907734.41908458
perm24	2911352.40034903
perm39	2911352.88417193
perm21	2915459.91475976
perm1	2915490.25983756
perm35	2916518.95849817
perm2	2916766.10448309
perm6	2916880.1028227
perm20	2916882.13613407
perm46	2925388.1524869
perm31	2925921.21738722
perm32	2931535.40979833
perm44	2933209.14095559
perm34	2933209.6031223
perm48	2935299.66165132
perm16	2940384.07465942
perm8	2942068.86558553
perm37	2946249.88461206
perm7	2949382.29186769
perm45	2950628.2403868
perm9	2963425.93804559
perm22	2982594.335658
perm28	2986914.99593307
perm41	2994794.51244495
perm50	3005159.98231753
perm42	3008461.62871204
perm13	3013733.09519866
perm15	3015300.56467338
perm27	3021472.06314031
perm29	3032794.05592018
perm25	3038556.92435747
perm49	3047817.47138529
perm38	3070659.92586487
perm10	3100644.82269057
perm23	3102449.62053475
perm36	3154567.92683167
perm26	3237980.75182799
perm3	3267820.56652362
perm14	3430818.11221456
perm47	3504487.48117139
perm19	3662000.98748506
perm43	3682105.81538107
perm5	3839204.4406308
