Permutation	/Users/alex/Desktop/BioNetFit_v1/examples/example5/example5_example5
perm31	3007765.3538611
perm27	3010966.89298615
perm35	3039838.22798813
perm48	3039868.14258899
perm44	3045306.57965026
perm38	3045350.90759947
perm2	3053818.04047608
perm15	3054777.9534996
perm24	3056016.07841134
perm17	3056033.56999241
perm13	3056056.25790977
perm14	3056056.53200425
perm42	3056056.6780211
perm6	3056932.2231031
perm28	3056932.2231031
perm36	3056978.23436522
perm23	3057961.98190613
perm29	3061336.00558779
perm49	3062749.37283507
perm26	3064403.3418734
perm4	3065740.55430881
perm41	3068525.87061166
perm1	3071452.22321923
perm47	3077772.94357619
perm21	3081525.934778
perm50	3081526.15893516
perm30	3094629.50992329
perm11	3094686.18622762
perm7	3099104.19850042
perm34	3105709.25569372
perm19	3108182.01857267
perm20	3108830.56173389
perm46	3111210.67072025
perm9	3111224.4036549
perm22	3129106.58778303
perm8	3136313.36370649
perm37	3143202.05315966
perm16	3143216.57574863
perm39	3158394.47901012
perm25	3186674.82230767
perm45	3188794.45670795
perm43	3219534.13186631
perm12	3296176.05015385
perm32	3306604.8393133
perm10	3331423.56532953
perm3	3348836.88115658
perm5	3466131.08815997
perm18	3557432.42706395
perm33	4295265.71000339
perm40	4667037.15700449
