Permutation	/Users/alex/Desktop/BioNetFit_v1/examples/example5/example5_example5
perm37	2773130.29944366
perm31	2785541.09793686
perm10	2789041.48833773
perm16	2794518.73501217
perm24	2803271.36938995
perm26	2804361.22601882
perm45	2804699.31352226
perm6	2804838.00669169
perm21	2806355.23667976
perm44	2806437.66254627
perm35	2806437.95262799
perm47	2807387.23609747
perm50	2807391.35337762
perm14	2807519.99115285
perm17	2809178.04359541
perm38	2811072.66423793
perm20	2811072.78875674
perm43	2811094.58482196
perm19	2811101.06777692
perm23	2819403.19219226
perm11	2819403.32774697
perm1	2820048.52822647
perm5	2823534.48642888
perm18	2836937.02651834
perm46	2840651.17899052
perm49	2840688.19009419
perm48	2840689.91510743
perm40	2847413.36591289
perm22	2858160.21210636
perm33	2859930.60889691
perm28	2859954.12809203
perm39	2859975.01726638
perm30	2876241.06615615
perm15	2886640.37623266
perm8	2927224.83188995
perm42	2950940.59459149
perm41	2981485.05012019
perm27	3008614.50724397
perm25	3023723.77726644
perm32	3032133.00398438
perm12	3043209.62500234
perm7	3043440.21271352
perm4	3075773.78573397
perm2	3111889.67211954
perm29	3151223.90434175
perm3	3226763.88150768
perm34	3278215.27101961
perm36	3284520.22297237
perm9	3890911.48287295
perm13	3893175.20571183
