Permutation	/Users/alex/Desktop/BioNetFit_v1/examples/example5/example5_example5
perm1	4208934.11666699
perm26	4283657.92981586
perm48	4364156.16661962
perm2	4606256.55128461
perm30	5690449.49118251
perm47	5900084.53932887
perm11	6271807.44816346
perm14	6312662.84181682
perm6	7124844.54424299
perm35	8834828.631926
perm42	10060528.0057405
perm13	10521017.1113449
perm7	10664848.6477392
perm41	12013618.0440085
perm43	12868414.650424
perm44	12912477.3330475
perm50	16068852.952366
perm40	16437863.2682114
perm39	18620807.7205866
perm12	19019153.0923838
perm29	21740788.9724413
perm5	27732005.4332006
perm49	28036283.0501345
perm20	38510627.4545609
perm17	42008748.4051154
perm18	42355971.3543538
perm21	54741789.7431086
perm16	55546992.6833352
perm15	69184417.3769092
perm37	71996428.5940408
perm38	118441541.621482
perm19	119273840.671334
perm25	128943907.780458
perm10	150449612.733997
perm3	156227543.369918
perm33	174665144.023328
perm9	177083863.823631
perm4	191007652.914421
perm8	201365363.872028
perm32	203444220.095282
perm36	246846931.622854
perm22	249109386.180919
perm34	265145063.007441
perm24	286300598.211907
perm28	286342927.137392
perm45	287094183.084078
perm31	288834894.505079
perm27	357025490.53728
perm23	357626247.922072
perm46	364091605.047347
