Permutation	/Users/alex/Desktop/BioNetFit_v1/examples/example5/example5_example5
perm50	2706702.30312301
perm33	2710880.14709761
perm11	2713032.89128081
perm31	2713355.96075672
perm42	2713585.99474924
perm38	2715450.01067299
perm49	2716446.60368327
perm37	2719902.89565546
perm32	2721777.12879797
perm28	2721819.23766194
perm47	2721819.53694567
perm13	2721819.99948237
perm45	2721820.14887067
perm23	2721821.1352005
perm46	2721822.06707061
perm39	2721991.31477301
perm14	2722189.19594353
perm12	2722527.54600075
perm2	2722528.17819439
perm9	2727198.61049416
perm19	2727258.19345401
perm34	2728793.92631896
perm44	2729311.41644416
perm8	2730419.3258048
perm16	2739430.66953164
perm20	2739444.27362729
perm26	2743858.52821905
perm17	2746914.90931764
perm1	2750332.91884598
perm41	2752435.46677771
perm15	2758436.36405034
perm21	2769453.44268132
perm10	2775644.94291759
perm30	2794912.23164116
perm7	2826083.39331289
perm6	2826127.92840092
perm25	2826130.44514812
perm4	2855707.57068759
perm27	2858065.24781349
perm5	2883267.77682478
perm35	2932497.43474854
perm43	2935488.62241463
perm36	2937404.70871575
perm18	2951505.11554668
perm3	3192705.55491436
perm40	3244367.55502436
perm48	3273830.06487256
perm22	3444154.75789865
perm24	3517397.89519263
perm29	3598866.04686823
