Permutation	/Users/alex/Desktop/BioNetFit_v1/examples/example5/example5_example5
perm24	2817159.7359083
perm46	2859561.16195446
perm13	2868080.7852776
perm7	2873842.89097286
perm25	2876543.27380804
perm10	2876994.05095889
perm9	2877955.57663142
perm16	2879980.11444605
perm40	2880140.97971675
perm34	2880142.9998967
perm44	2880143.24321071
perm1	2881579.37856665
perm20	2884638.88074313
perm15	2885976.96077122
perm11	2886301.34358271
perm50	2886363.22926105
perm8	2887807.30572849
perm19	2892936.39070804
perm42	2892958.64679558
perm48	2904341.43968379
perm22	2904365.27115311
perm39	2904574.16018631
perm23	2905777.7211891
perm38	2908113.40480401
perm32	2911294.29147169
perm4	2914096.99257939
perm35	2916518.95849817
perm18	2916855.54676945
perm49	2918356.2616174
perm28	2923683.40778313
perm17	2931087.53870866
perm31	2932232.62962014
perm3	2941305.3871539
perm26	2955038.30955978
perm37	2957729.9494608
perm14	2960198.24733572
perm33	2985295.14226211
perm45	2986910.08040012
perm2	3008831.25405791
perm47	3024494.89315457
perm36	3069170.43249867
perm41	3096614.70324171
perm27	3135084.57471456
perm6	3187257.9348032
perm30	3198802.2834643
perm12	3251340.65808439
perm29	3268289.90962748
perm43	3279506.77517875
perm21	3722587.88248645
perm5	4574660.77960311
