Permutation	/Users/alex/Desktop/BioNetFit_v1/examples/example5/example5_example5
perm39	3029545.26978698
perm2	3039944.3874652
perm22	3045354.47206904
perm8	3052474.11670583
perm15	3055318.357219
perm50	3056016.07841134
perm28	3056019.46075301
perm35	3056019.80516117
perm34	3056019.9422359
perm16	3056033.19108106
perm13	3056047.71151015
perm45	3056056.20651907
perm40	3056056.53200425
perm18	3056932.31022358
perm38	3061181.27227036
perm41	3064383.809251
perm33	3068133.68376086
perm47	3068557.33110016
perm37	3069217.94893121
perm27	3075693.05705869
perm26	3077678.50871618
perm30	3078222.5774759
perm21	3078274.62042239
perm11	3081525.99530433
perm36	3081526.08638678
perm32	3083074.64949152
perm49	3083098.43436104
perm14	3084343.74709316
perm24	3084973.17637112
perm17	3092380.91617012
perm5	3096082.17084925
perm3	3096836.82108907
perm44	3100573.56198104
perm23	3111224.64793475
perm12	3111518.73667295
perm9	3112135.20329609
perm43	3116848.40538233
perm1	3120766.51682018
perm46	3122013.02395054
perm29	3163341.89804655
perm10	3173062.97303542
perm25	3197986.63894006
perm19	3248010.1155061
perm4	3259095.83198706
perm31	3335100.53922516
perm6	3393989.2315904
perm48	3404852.03231625
perm7	3416077.38882097
perm42	3630837.84389804
perm20	3738134.16526925
