Permutation	/Users/alex/Desktop/BioNetFit_v1/examples/example5/example5_example5
perm4	2707349.9584225
perm41	2707350.87496922
perm15	2709605.71337115
perm12	2709605.81731391
perm27	2709622.58989149
perm25	2711555.39527263
perm30	2713033.7237305
perm9	2713126.264466
perm46	2713126.46624818
perm10	2713257.0648558
perm42	2713347.47896634
perm49	2713425.28105487
perm40	2713488.16324206
perm26	2713592.24846666
perm5	2714294.68955125
perm2	2714706.72527317
perm29	2715488.17692393
perm37	2715489.00140215
perm16	2716442.98664295
perm6	2720461.17385071
perm32	2720924.16695668
perm38	2721819.50087715
perm28	2727197.45066561
perm43	2728798.0557898
perm18	2729445.68533213
perm44	2735985.41764493
perm24	2740532.73812867
perm35	2747543.36203155
perm33	2748674.9172658
perm39	2750227.37320686
perm50	2750579.23374768
perm1	2751325.05058695
perm21	2757202.14066714
perm11	2771355.8667677
perm3	2796566.84465396
perm36	2831279.47075845
perm23	2851160.68036421
perm8	2890717.02039979
perm31	2914195.76106708
perm19	2916966.33744335
perm14	2927412.25109887
perm20	2991241.37760077
perm45	3027378.30278475
perm47	3030885.06385028
perm22	3055640.37290268
perm7	3145853.90392721
perm34	3156856.40096035
perm13	3483510.11881865
perm48	3533833.60049807
perm17	3914966.3979161
