Permutation	/Users/alex/Desktop/BioNetFit_v1/examples/example5/example5_example5
perm20	4061572.63153648
perm6	4064303.21471573
perm13	4085617.4541199
perm9	4191338.13054592
perm44	4199469.25864039
perm49	4215698.81348785
perm46	4221663.6160574
perm25	4248840.5337485
perm1	4259237.93323048
perm2	4307633.23167968
perm47	4308310.22383201
perm33	4318462.46250011
perm11	4413692.44070135
perm39	4416281.8214048
perm8	4537763.56773226
perm43	4545086.98383007
perm50	4562934.32454256
perm30	4584931.52740633
perm14	4619234.33340997
perm40	4645993.63773585
perm5	4686652.14571508
perm12	4727470.17730933
perm17	4801527.48716972
perm22	4918948.92406141
perm16	4934737.83908109
perm21	4972001.465844
perm48	5167300.89688523
perm4	5431626.9677852
perm19	5691672.39102526
perm18	5829806.3015576
perm34	5910160.13724931
perm29	5946911.15834792
perm7	6130268.17448674
perm3	6178460.73113226
perm10	7050453.98127295
perm15	8460611.84196306
perm26	10728415.2836525
perm36	19881806.3671083
perm45	21529062.355234
perm35	55169677.0688853
perm31	229300065.94048
perm27	232670529.875908
perm28	247955973.802157
perm24	252549592.184029
perm37	253409041.513448
perm42	293531160.358311
perm32	316154396.071164
perm23	331122748.968745
perm38	337040170.870164
perm41	359562387.259106
