Permutation	/Users/alex/Desktop/BioNetFit_v1/examples/example5/example5_example5
perm46	3153487.56226923
perm2	3153499.7749381
perm11	3153499.7749381
perm1	3153500.19888876
perm19	3172062.5154497
perm7	3205187.02562083
perm8	3209638.21657639
perm47	3611478.73681396
perm12	3613864.42755269
perm48	3737757.53005948
perm45	3830687.1081551
perm35	4001278.62351852
perm20	4023119.62918804
perm23	4032387.47306903
perm36	4080461.21711565
perm3	4267335.9911853
perm10	4318003.52644076
perm4	4996537.95803363
perm31	7188675.79001087
perm44	8659759.8128809
perm9	11356032.3236119
perm5	13695955.7604531
perm30	16878705.1298953
perm24	20482293.7585188
perm39	26923705.9258072
perm32	44289045.6158018
perm43	47506272.0428201
perm40	53577696.7613841
perm29	53907185.9927911
perm6	55992931.5394897
perm27	228957925.058263
perm42	229639674.397959
perm22	230540461.564852
perm33	230552137.290169
perm18	231269982.499324
perm13	232128726.922972
perm26	232934316.567206
perm49	234785644.355848
perm41	241099176.047184
perm21	247284339.251863
perm15	251990545.308836
perm34	252509268.191194
perm37	253779052.325333
perm25	255221004.903371
perm17	311644286.237606
perm28	311666658.602788
perm50	312802246.173041
perm14	314868349.649569
perm16	327558153.797126
perm38	335065534.855868
