Permutation	/Users/alex/Desktop/BioNetFit_v1/examples/example5/example5_example5
perm1	2817159.73086621
perm21	2817164.14170591
perm34	2859405.29937496
perm41	2865786.00298864
perm3	2865873.8036437
perm42	2872809.43202068
perm29	2874638.96201944
perm2	2876987.73302032
perm27	2877814.34568856
perm40	2878939.70918819
perm12	2880136.39724788
perm25	2880142.88448542
perm10	2880142.9998967
perm11	2880143.23471046
perm26	2880143.56144681
perm15	2880143.83385555
perm48	2881628.39276407
perm24	2882444.51300108
perm28	2882527.57030057
perm35	2884613.22855379
perm18	2884638.85600889
perm22	2885959.19567017
perm23	2886723.98760102
perm14	2889536.33697758
perm49	2897928.63142089
perm9	2904265.10013926
perm30	2904340.7902656
perm13	2931005.78974582
perm4	2934921.95538062
perm31	2939634.24073007
perm33	2950831.33635228
perm17	2951438.96128403
perm8	2968701.83058984
perm46	2981260.41514034
perm7	3001242.0482513
perm36	3008210.40880604
perm6	3012683.89976458
perm5	3035451.93544085
perm50	3059234.12956346
perm47	3061442.50574407
perm20	3121750.47446466
perm16	3130041.56290004
perm43	3155490.30448665
perm44	3163570.16315398
perm32	3244762.0572774
perm45	3254121.59932499
perm37	3305344.59067272
perm39	3349702.04244263
perm38	4007711.83755652
perm19	4069143.61066736
