Permutation	/Users/alex/Desktop/BioNetFit_v1/examples/example5/example5_example5
perm40	3056019.78007596
perm9	3077656.56345915
perm23	3081526.08638678
perm35	3084393.3118995
perm42	3096356.0776284
perm4	3111224.59894015
perm32	3111226.80705717
perm43	3111226.98453277
perm18	3114109.88901671
perm14	3137569.79283831
perm17	3145034.51399418
perm21	3147989.10806749
perm36	3153421.67729474
perm8	3153448.77666871
perm28	3153475.9354963
perm41	3153488.25969543
perm47	3153492.16360058
perm50	3153499.59366514
perm24	3153499.69188548
perm2	3153499.7105349
perm27	3153499.7749381
perm38	3153499.7749381
perm37	3153500.32783884
perm15	3153508.86847262
perm19	3153569.56890149
perm20	3153576.3434892
perm45	3165943.76573718
perm26	3168048.05999707
perm29	3169686.42759385
perm6	3170724.51418667
perm48	3177719.4035338
perm49	3190317.57054628
perm22	3249823.94283478
perm33	3278383.44242744
perm39	3331921.52621937
perm10	3379819.43468473
perm3	3412111.54930296
perm16	3422716.47312221
perm11	3431058.07139001
perm1	3434385.91084782
perm7	3460309.94500586
perm25	3491962.09501699
perm13	3535431.21211769
perm46	3633440.8254041
perm34	3643961.06496363
perm44	3670583.18417849
perm5	3702069.90658056
perm12	3791390.25995377
perm31	3950328.26035611
perm30	3986245.5161664
