Permutation	/Users/alex/Desktop/BioNetFit_v1/examples/example5/example5_example5
perm43	2978976.4943641
perm26	3002590.63578665
perm11	3005481.14388924
perm13	3007764.14575492
perm37	3007764.90438809
perm31	3007765.24151366
perm4	3010883.7260948
perm34	3010883.7260948
perm7	3015868.22157654
perm17	3034328.37528019
perm36	3034987.72348015
perm23	3039935.30122935
perm27	3045308.19144055
perm46	3045379.40345718
perm5	3045911.9310874
perm19	3052474.25197847
perm22	3052476.85395214
perm39	3052944.85889616
perm2	3054404.25806731
perm21	3054498.51545334
perm24	3055326.54860774
perm50	3055520.99556605
perm25	3056011.84040297
perm14	3056028.98390017
perm28	3056041.71185132
perm45	3056772.56332852
perm8	3060876.08289807
perm3	3061165.93801073
perm10	3062061.88166571
perm47	3078904.58101227
perm16	3085546.78918503
perm32	3088011.11154456
perm18	3089402.68666674
perm30	3092888.42671199
perm1	3094514.98457609
perm9	3094794.03043237
perm41	3102198.13651613
perm20	3127648.29810489
perm48	3133451.33611919
perm40	3154851.5544779
perm12	3164176.41541253
perm49	3248581.95790296
perm6	3261157.57273796
perm33	3278621.11717587
perm35	3310273.2853905
perm15	3332252.28928207
perm44	3432555.31267717
perm42	3444529.02429745
perm38	3463737.07057806
perm29	3530000.78967979
