Permutation	/Users/alex/Desktop/BioNetFit_v1/examples/example5/example5_example5
perm11	3084393.27238005
perm47	3111227.0687705
perm28	3150587.68421246
perm3	3153475.29575499
perm6	3153476.16394946
perm25	3153499.59280046
perm21	3153499.7105349
perm15	3153499.7749381
perm32	3153499.7749381
perm33	3153499.7749381
perm20	3153499.93232544
perm41	3153500.32783884
perm48	3153500.54764812
perm31	3153569.29088896
perm22	3172075.83974597
perm12	3192378.78071628
perm7	3200313.46687709
perm27	3231125.9227982
perm8	3237423.61906863
perm49	3257909.94683533
perm4	3274254.02785972
perm23	3533649.03699145
perm42	3613864.39950397
perm5	3613923.78178697
perm19	3648360.04577878
perm26	3698239.38461575
perm30	3979932.96611876
perm24	4057956.92606126
perm13	4139909.6286417
perm14	4172056.22151535
perm50	4315730.52778108
perm18	4329925.07524816
perm16	4420805.7222604
perm34	5070523.3217772
perm38	7708480.67996162
perm29	12436272.3606721
perm37	23780475.6982697
perm17	51499634.6927799
perm2	231976831.326464
perm40	232473549.956142
perm36	252549572.124227
perm9	254704838.278631
perm46	255453878.236986
perm44	256075992.273644
perm39	310340856.909261
perm1	314638073.084442
perm35	320993235.605944
perm10	325982395.017437
perm45	333862663.408511
perm43	340863884.214908
