Permutation Chi-Sq K2RT__FREE__ KD1__FREE__ kdephos__FREE__ km1__FREE__ km2__FREE__ kphos__FREE__
gen11perm11 1756.2440810946666261 1.61148866e+00 1.19340077e-02 3.89779017e-02 2.50074856e+00 2.11534619e+02 8.91109450e-02
gen11perm47 1763.8670779768233388 1.67086831e+00 1.19719299e-02 3.82551071e-02 2.56262276e+00 2.14227696e+02 8.91109450e-02
gen11perm28 1774.9894884794268819 1.52685855e+00 1.19719299e-02 3.74260566e-02 2.56262276e+00 2.23298622e+02 8.91109450e-02
gen11perm3 1775.8027187035693260 1.52685855e+00 1.16819076e-02 3.82551071e-02 2.50074856e+00 2.17007900e+02 8.91109450e-02
gen11perm6 1775.8029631548263296 1.52685855e+00 1.19340077e-02 3.82551071e-02 2.38982046e-02 2.16953339e+02 8.91109450e-02
gen10perm46 1775.8061724944050184 1.52685855e+00 1.19340077e-02 3.82551071e-02 2.56262276e+00 2.14227696e+02 8.91109450e-02
gen11perm25 1775.8095598347420037 1.52685855e+00 1.14711201e-02 3.82551071e-02 2.50074856e+00 2.11534619e+02 8.91109450e-02
gen4perm17 1775.8095721417878394 1.52685855e+00 1.19340077e-02 3.82551071e-02 2.50074856e+00 2.11534619e+02 8.91109450e-02
gen11perm21 1775.8095929842545502 1.52685855e+00 1.19340077e-02 3.82551071e-02 5.70544009e+01 2.11534619e+02 8.91109450e-02
gen11perm15 1775.8096111177283092 1.52685855e+00 1.19340077e-02 3.82551071e-02 2.50074856e+00 2.11534619e+02 8.91109450e-02
gen11perm32 1775.8096111177283092 1.52685855e+00 1.19340077e-02 3.82551071e-02 2.50074856e+00 2.11534619e+02 8.91109450e-02
gen11perm33 1775.8096111177283092 1.52685855e+00 1.19340077e-02 3.82551071e-02 2.50074856e+00 2.11534619e+02 8.91109450e-02
gen10perm2 1775.8096111177283092 1.52685855e+00 1.19340077e-02 3.82551071e-02 2.50074856e+00 2.11534619e+02 8.91109450e-02
gen10perm11 1775.8096111177283092 1.52685855e+00 1.19340077e-02 3.82551071e-02 2.50074856e+00 2.11534619e+02 8.91109450e-02
gen11perm20 1775.8096554319768074 1.52685855e+00 1.11203946e-02 3.82551071e-02 2.38982046e-02 2.11534619e+02 8.91109450e-02
gen10perm1 1775.8097304860002623 1.52685855e+00 1.19719299e-02 3.82551071e-02 2.38982046e-02 2.11534619e+02 8.91109450e-02
gen11perm41 1775.8097667934018773 1.52685855e+00 1.19340077e-02 3.82551071e-02 2.38982046e-02 2.11534619e+02 8.91109450e-02
gen9perm23 1775.8097667934018773 1.52685855e+00 1.19340077e-02 3.82551071e-02 2.38982046e-02 2.11534619e+02 8.91109450e-02
gen6perm19 1775.8097667934018773 1.52685855e+00 1.19340077e-02 3.82551071e-02 2.38982046e-02 2.11534619e+02 8.91109450e-02
gen11perm48 1775.8098286832755548 1.52685855e+00 1.23243900e-02 3.82551071e-02 2.38982046e-02 2.11534619e+02 8.91109450e-02
gen11perm31 1775.8291840402230264 1.52685855e+00 1.19340077e-02 3.82551071e-02 2.38982046e-02 1.97381883e+02 8.91109450e-02
gen10perm19 1781.0284993367463358 1.52685855e+00 4.42704064e+01 3.82551071e-02 5.70544009e+01 2.30289660e+02 8.91109450e-02
gen11perm22 1781.0322399513077016 1.52685855e+00 4.42704064e+01 3.82551071e-02 2.62804264e+00 2.30289660e+02 8.91109450e-02
gen11perm12 1786.7229166035440358 1.52685855e+00 1.19340077e-02 3.88450212e-02 2.30997036e+00 2.11534619e+02 8.91109450e-02
gen11perm7 1788.9419965099732508 1.40319566e+00 1.19719299e-02 4.05552931e-02 2.46851584e+00 2.11534619e+02 9.72474489e-02
gen10perm7 1790.3036126927815985 1.52685855e+00 1.19340077e-02 3.89779017e-02 2.50074856e+00 2.11534619e+02 8.91109450e-02
gen10perm8 1791.5463199639539198 1.49079260e+00 1.19340077e-02 3.82551071e-02 2.38982046e-02 2.11534619e+02 8.91109450e-02
gen11perm27 1797.5332883699809372 1.52685855e+00 1.19899485e-02 3.92108703e-02 2.38982046e-02 2.14227696e+02 8.91109450e-02
gen11perm8 1799.2841963038042650 1.52685855e+00 1.19340077e-02 3.87957112e-02 2.38982046e-02 2.11534619e+02 9.47037854e-02
gen11perm49 1804.9681290358921615 1.46724802e+00 1.14196007e-02 3.82551071e-02 5.92300559e+02 2.11534619e+02 8.91109450e-02
gen11perm4 1809.4899910913350141 1.65189900e+00 1.19340077e-02 4.16037046e-02 2.22792356e-02 2.11534619e+02 8.91109450e-02
gen11perm23 1879.8002651854928899 1.43529769e+00 1.19340077e-02 3.76169449e-02 2.32356160e-02 2.11534619e+02 9.72474489e-02
gen10perm47 1900.3891014247476505 1.52685855e+00 1.11203946e-02 3.47242985e-02 2.38982046e-02 2.11534619e+02 8.91109450e-02
gen11perm42 1901.0166752303803150 1.52685855e+00 1.17680815e-02 3.47167896e-02 2.54431458e-02 2.11534619e+02 8.91109450e-02
gen10perm12 1901.0166826076742836 1.52685855e+00 1.17680815e-02 3.47167896e-02 2.38982046e-02 2.11534619e+02 8.91109450e-02
gen11perm5 1901.0322937254288718 1.52685855e+00 1.17680815e-02 3.47167896e-02 2.56262276e+00 2.20165471e+02 8.91109450e-02
gen11perm19 1910.0680735981056841 1.53937123e+00 1.19340077e-02 3.47242985e-02 2.50074856e+00 2.15355261e+02 8.91109450e-02
gen11perm26 1923.0807015348436835 1.55542636e+00 1.11203946e-02 3.47242985e-02 2.38982046e-02 2.05309894e+02 8.91109450e-02
gen10perm48 1933.3280968473716257 1.52685855e+00 1.19340077e-02 4.16037046e-02 2.22792356e-02 2.11534619e+02 8.91109450e-02
gen10perm45 1957.2141191385007915 1.52685855e+00 1.19340077e-02 3.76169449e-02 2.50074856e+00 1.96854718e+02 9.72474489e-02
gen9perm24 1957.2568606761656156 1.52685855e+00 1.19340077e-02 3.76169449e-02 2.46851584e+00 2.11534619e+02 9.72474489e-02
gen11perm30 1994.9769337310040100 5.66215951e+00 1.19340077e-02 1.26290111e-03 2.48202642e+00 2.11534619e+02 3.84060462e-03
gen9perm18 1996.5601746872391686 5.66215951e+00 1.19340077e-02 1.22864309e-03 2.50074856e+00 9.39170951e-02 3.84060462e-03
gen8perm45 1997.6770681833447725 5.57966510e+00 2.78722099e+01 1.24400785e-03 5.92300559e+02 9.79970836e-02 3.89698736e-03
gen9perm12 2000.0459335653570179 6.11510967e+00 1.19340077e-02 1.19008219e-03 2.63365735e+00 7.79395327e-02 3.69279058e-03
gen10perm35 2000.3196303387405806 6.11510967e+00 1.19340077e-02 1.31620190e-03 2.16085475e+00 8.95638112e-02 3.84060462e-03
gen8perm41 2002.2116432481084303 6.11510967e+00 1.19340077e-02 1.22864309e-03 2.50074856e+00 4.76805223e-02 3.84060462e-03
gen10perm20 2005.7715795144872573 5.77778712e+00 1.19340077e-02 1.28047558e-03 2.43131541e+00 2.11534619e+02 3.75731408e-03
gen9perm22 2006.5447873786743003 5.57966510e+00 9.61195114e+01 1.24400785e-03 5.09392761e-01 8.08533859e-02 3.89698736e-03
gen9perm46 2007.4350223035594354 6.19299117e+00 4.42704064e+01 1.20400042e-03 5.49184898e+02 4.81593618e-02 3.73556877e-03
