Permutation	/Users/alex/Desktop/BioNetFit_v1/examples/example5/example5_example5
perm11	4536695.5946471
perm6	6157210.27012553
perm35	6761813.74103307
perm26	10858991.6670078
perm21	13231158.819336
perm16	28771169.7876155
perm25	59769111.8755523
perm45	64855192.4247569
perm43	73202697.0519718
perm42	86716348.1206147
perm12	99393304.9135541
perm33	128126216.783377
perm22	128614294.524021
perm34	139228207.583306
perm44	156295766.993317
perm5	163110036.830092
perm1	191152702.841932
perm38	196615768.513246
perm37	214487441.82132
perm13	223748426.577935
perm48	227288762.715858
perm20	241498166.323477
perm47	247230978.524372
perm41	250951011.660927
perm24	256964558.329514
perm40	265670916.164653
perm2	276265779.299424
perm50	282687128.048002
perm30	285417040.028868
perm39	285594233.113409
perm29	286040403.909914
perm10	287298972.539962
perm23	287331073.437501
perm46	288195979.974168
perm17	290788386.376865
perm32	291318149.932141
perm8	291510229.585856
perm28	291739908.400475
perm7	292250395.605616
perm27	293016438.280099
perm31	293156374.479771
perm3	293313265.882176
perm36	293352500.978577
perm15	293370421.480465
perm14	331181310.743774
perm9	349259580.392616
perm49	351357342.664572
perm19	365275313.678981
perm4	365945990.544235
perm18	367578059.420711
