Permutation	/Users/alex/Desktop/BioNetFit_v1/examples/example5/example5_example5
perm11	2978936.4278987
perm5	2978975.91179619
perm38	2979011.16995745
perm12	2979522.27301737
perm21	2991786.24638436
perm50	2997200.96275269
perm27	3002592.08334886
perm10	3002624.12645363
perm28	3002877.06856656
perm36	3004469.81752458
perm18	3005400.31549988
perm1	3005481.36017716
perm15	3005512.23144598
perm37	3005542.72093973
perm40	3006158.71503334
perm32	3006170.50426042
perm44	3006213.42565565
perm17	3007762.50983913
perm7	3007763.45029411
perm2	3007764.15213137
perm22	3007765.52832943
perm14	3007766.72879109
perm16	3007768.26323833
perm49	3007769.33177918
perm43	3016432.35211843
perm26	3021006.21471279
perm47	3025518.28689141
perm33	3032693.91606073
perm24	3033726.77773747
perm4	3034261.84824994
perm48	3035021.99392462
perm19	3035056.43040903
perm35	3035673.99041513
perm46	3039893.69295231
perm29	3048551.34268363
perm13	3072598.19666478
perm41	3076492.59562967
perm31	3080386.37260075
perm6	3083977.6524634
perm25	3099091.47385426
perm8	3116658.80674404
perm39	3135789.58403185
perm34	3176866.39654327
perm30	3203980.76071948
perm3	3205133.1231433
perm42	3276137.21123343
perm9	3418801.17762402
perm45	3524834.21779344
perm20	3911818.6592608
perm23	4035034.44266985
