Permutation	/Users/alex/Desktop/BioNetFit_v1/examples/example5/example5_example5
perm40	2769011.63101019
perm24	2773130.30026359
perm20	2773130.848388
perm39	2775541.63617402
perm43	2777172.96810182
perm3	2777175.52070003
perm8	2785425.93216969
perm16	2785440.14439416
perm5	2785518.67505747
perm30	2786368.58109304
perm7	2787325.49788973
perm12	2790886.63810595
perm13	2790889.52956324
perm26	2793209.68086295
perm4	2794537.4556392
perm37	2795632.06219959
perm25	2795809.99134962
perm36	2799778.98523494
perm6	2801948.58083735
perm45	2807387.1217881
perm48	2807387.33952625
perm42	2810658.05165421
perm9	2824991.56075815
perm14	2829062.70894464
perm15	2843152.78743239
perm10	2846766.97416568
perm47	2847464.57674937
perm41	2851632.60555495
perm2	2852511.57705562
perm31	2857826.2354263
perm34	2862989.99278057
perm23	2871489.98691594
perm50	2871782.04119158
perm28	2881086.13749453
perm27	2923041.56155046
perm44	2924988.89934415
perm21	2956523.11564089
perm17	2987378.31207912
perm49	2994854.52102374
perm38	2995592.39231476
perm1	2997037.25731255
perm18	3014365.15691776
perm33	3035627.73201588
perm22	3149954.76037562
perm35	3206093.73663478
perm46	3303406.84000409
perm11	3538212.85520467
perm29	3573520.29397175
perm32	3701410.69726917
perm19	3889934.31511225
