Permutation Chi-Sq K2RT__FREE__ KD1__FREE__ kdephos__FREE__ km1__FREE__ km2__FREE__ kphos__FREE__
gen46perm50 1645.2058543303978695 2.87745799e+00 1.12754352e-02 4.79415619e-02 2.19276935e-02 2.45794254e+02 8.66555645e-02
gen46perm33 1646.4750672565951390 2.87745799e+00 1.37390849e-02 4.73433024e-02 2.36874174e-02 2.50507791e+02 8.62641750e-02
gen46perm11 1647.1286808506536090 2.84052821e+00 1.04820758e-02 4.77033611e-02 2.14167896e-02 2.45794254e+02 8.62641750e-02
gen46perm31 1647.2267484340832198 2.81986830e+00 1.10826070e-02 4.73433024e-02 2.24730001e-02 2.25246991e+02 8.64245224e-02
gen46perm42 1647.2965715830396221 2.81986830e+00 1.10826070e-02 4.74101333e-02 2.19276935e-02 2.73027727e+02 8.62641750e-02
gen46perm38 1647.8622547631198358 2.81986830e+00 1.09312156e-02 4.77033611e-02 2.34688244e-02 2.45794254e+02 8.64245224e-02
gen46perm49 1648.1646166822263240 2.81986830e+00 1.10826070e-02 4.70231623e-02 2.19610682e-02 1.97572151e+02 8.62641750e-02
gen46perm37 1649.2128109056923222 2.91645982e+00 1.10826070e-02 4.74101333e-02 2.31749436e-02 2.45794254e+02 8.66555645e-02
gen46perm32 1649.7809335781421396 2.79677920e+00 1.44073009e-02 4.74101333e-02 2.14167896e-02 2.49590599e+02 8.74650364e-02
gen46perm28 1649.7936954849651556 2.74400710e+00 1.04820758e-02 4.73433024e-02 2.45092281e-02 2.50715404e+02 8.74650364e-02
gen46perm47 1649.7937861883426649 2.74400710e+00 1.05491095e-02 4.73433024e-02 1.77799481e-02 2.49590599e+02 8.74650364e-02
gen46perm13 1649.7939263684947946 2.74400710e+00 1.33875193e-02 4.73433024e-02 2.03703537e-02 2.53187074e+02 8.74650364e-02
gen46perm45 1649.7939716433288595 2.74400710e+00 1.01195837e-02 4.73433024e-02 2.28162758e-02 2.45794254e+02 8.74650364e-02
gen46perm23 1649.7942705684536122 2.74400710e+00 1.44073009e-02 4.73433024e-02 2.45583530e-02 2.49590599e+02 8.74650364e-02
gen46perm46 1649.7945529885269025 2.74400710e+00 1.18598857e-02 4.73433024e-02 2.45470541e-02 2.40082781e+02 8.74650364e-02
gen46perm39 1649.8458457604472187 2.69012734e+00 9.68387636e-03 4.94676727e-02 2.46320754e-02 2.34175051e+02 9.16040096e-02
gen46perm14 1649.9058142644173586 2.68477897e+00 1.17127551e-02 4.94676727e-02 2.28162758e-02 2.49590599e+02 9.16040096e-02
gen46perm12 1650.0083472518404051 2.74400710e+00 1.09312156e-02 4.68360954e-02 2.11085381e-02 2.73027727e+02 8.64245224e-02
gen46perm2 1650.0085388246902767 2.74400710e+00 1.00457908e-02 4.68360954e-02 2.28162758e-02 2.69779614e+02 8.64245224e-02
gen46perm9 1651.4232075679926766 2.81986830e+00 1.04820758e-02 4.73433024e-02 2.22674848e-02 2.49590599e+02 8.74650364e-02
gen46perm19 1651.4412473515410511 2.84052821e+00 1.04086646e-02 4.68360954e-02 2.28162758e-02 2.45794254e+02 8.64245224e-02
gen46perm34 1651.9061493677413637 2.68285388e+00 1.12754352e-02 4.70231623e-02 2.19610682e-02 1.97572151e+02 8.74650364e-02
gen46perm44 1652.0627761813900634 2.68477897e+00 1.04820758e-02 4.69715285e-02 2.36605961e-02 2.49590599e+02 8.74650364e-02
gen46perm8 1652.3980530746225668 2.65671044e+00 1.04820758e-02 4.73433024e-02 2.28162758e-02 2.49590599e+02 8.82016103e-02
gen46perm16 1655.1225542332633722 2.74400710e+00 1.09312156e-02 4.77033611e-02 2.45825689e-02 2.55035619e+02 8.64245224e-02
gen46perm20 1655.1266639225211748 2.74400710e+00 1.18785052e-02 4.77033611e-02 2.14167896e-02 2.45794254e+02 8.64245224e-02
gen46perm26 1656.4596367612011818 2.68477897e+00 1.04820758e-02 5.05666413e-02 2.24730001e-02 2.53770653e+02 9.16040096e-02
gen46perm17 1657.3819443078411950 2.84052821e+00 1.09312156e-02 4.94676727e-02 2.04204445e-02 2.24126996e+02 9.16040096e-02
gen46perm1 1658.4127709487695483 2.74400710e+00 1.25216021e-02 4.94676727e-02 1.85988075e-02 2.45794254e+02 8.88522581e-02
gen46perm41 1659.0465535293801622 3.02809662e+00 1.01344873e-02 4.74101333e-02 2.13242525e-02 2.45794254e+02 8.66555645e-02
gen46perm15 1660.8541067927485528 2.84052821e+00 1.44073009e-02 4.94761115e-02 2.03797525e-02 2.50507791e+02 8.74650364e-02
gen46perm21 1664.1674923760883757 2.74400710e+00 9.98924291e-03 4.63385269e-02 2.28162758e-02 2.45794254e+02 8.74650364e-02
gen46perm10 1666.0266933388529651 2.74400710e+00 1.04820758e-02 4.81721455e-02 2.28162758e-02 2.73027727e+02 8.62641750e-02
gen46perm30 1671.7991002632948039 2.74400710e+00 1.42651248e-02 5.17843949e-02 2.36874174e-02 2.38733272e+02 9.16040096e-02
gen46perm7 1681.0958905764086921 2.74400710e+00 1.27654976e-02 4.94676727e-02 2.48990495e-02 2.49590599e+02 8.74650364e-02
gen46perm6 1681.1091363742318663 2.74400710e+00 1.02359307e-02 4.94676727e-02 2.24730001e-02 2.34175051e+02 8.74650364e-02
gen46perm25 1681.1098849117872760 2.74400710e+00 1.55185152e-02 4.94676727e-02 2.28162758e-02 2.34175051e+02 8.74650364e-02
gen46perm4 1689.8838926646967593 2.81986830e+00 1.44073009e-02 5.03061147e-02 2.24730001e-02 2.49590599e+02 9.51023145e-02
gen46perm27 1690.5813342792737330 2.81986830e+00 1.21016077e-02 4.74101333e-02 2.13242525e-02 2.49590599e+02 9.00868606e-02
gen46perm5 1698.0187798798865515 2.68477897e+00 1.44073009e-02 4.73433024e-02 2.42825039e-02 2.55341939e+02 9.16040096e-02
gen46perm35 1712.4536299557262282 2.68477897e+00 1.21016077e-02 4.70231623e-02 2.42825039e-02 2.49590599e+02 9.16040096e-02
gen46perm43 1713.3267704715960917 2.74400710e+00 1.04820758e-02 4.73433024e-02 2.42825039e-02 2.34175051e+02 9.16040096e-02
gen46perm36 1713.8858505500732008 2.87745799e+00 9.75960279e-03 4.94676727e-02 2.48990495e-02 1.97572151e+02 9.40334488e-02
gen46perm18 1717.9945039337819708 2.68477897e+00 1.28469995e-02 4.77033611e-02 2.06366108e-02 2.34175051e+02 9.30252457e-02
gen46perm3 1786.8143593877787225 2.74400710e+00 1.04362900e-02 4.31843160e-02 2.13242525e-02 2.73027727e+02 8.62641750e-02
gen46perm40 1801.2128011493700797 2.68477897e+00 1.27654976e-02 5.12637499e-02 2.28162758e-02 2.49590599e+02 8.71990436e-02
