Permutation Chi-Sq K2RT__FREE__ KD1__FREE__ kdephos__FREE__ km1__FREE__ km2__FREE__ kphos__FREE__
gen44perm11 1649.5150362609763306 2.87745799e+00 1.04820758e-02 4.70231623e-02 2.42825039e-02 1.97572151e+02 8.62641750e-02
gen44perm15 1649.5210356098330067 2.87745799e+00 1.09312156e-02 4.70231623e-02 2.19610682e-02 2.35239990e+02 8.62641750e-02
gen44perm39 1649.7935405351026930 2.74400710e+00 1.04820758e-02 4.73433024e-02 2.28162758e-02 2.53770653e+02 8.74650364e-02
gen44perm25 1649.7937811658682676 2.74400710e+00 1.04820758e-02 4.73433024e-02 2.36605961e-02 2.49590599e+02 8.74650364e-02
gen44perm6 1649.7940388790843826 2.74400710e+00 1.18598857e-02 4.73433024e-02 2.28162758e-02 2.45794254e+02 8.74650364e-02
gen44perm31 1649.7942210379205790 2.74400710e+00 1.44073009e-02 4.73433024e-02 2.24730001e-02 2.50507791e+02 8.74650364e-02
gen44perm33 1649.8928174066802512 2.71608998e+00 1.44073009e-02 4.94676727e-02 2.24730001e-02 2.34175051e+02 9.16040096e-02
gen44perm38 1649.9056665607222385 2.68477897e+00 1.25216021e-02 4.94676727e-02 2.04204445e-02 2.53187074e+02 9.16040096e-02
gen44perm37 1649.9059549915020852 2.68477897e+00 1.27654976e-02 4.94676727e-02 2.48990495e-02 2.49590599e+02 9.16040096e-02
gen44perm12 1649.9069957729338967 2.68477897e+00 1.12754352e-02 4.94676727e-02 2.19610682e-02 2.34175051e+02 9.16040096e-02
gen44perm28 1650.3472532234984556 2.71608998e+00 1.19263386e-02 4.73433024e-02 2.28162758e-02 2.46455648e+02 8.74650364e-02
gen44perm19 1650.4055712734291319 2.73312949e+00 1.12260927e-02 4.68360954e-02 2.28162758e-02 2.34175051e+02 8.62641750e-02
gen44perm24 1650.5412752512697807 2.81986830e+00 1.21016077e-02 4.68360954e-02 2.11437204e-02 2.32028850e+02 8.64245224e-02
gen44perm50 1650.5453000040417919 2.81986830e+00 1.18598857e-02 4.68360954e-02 2.28162758e-02 2.81228059e+02 8.64245224e-02
gen44perm13 1650.5577417311271802 2.74400710e+00 1.00457908e-02 4.94676727e-02 2.28162758e-02 2.45794254e+02 9.16040096e-02
gen44perm43 1650.5605967068509017 2.81986830e+00 1.10826070e-02 4.74101333e-02 2.45470541e-02 2.45794254e+02 8.74650364e-02
gen44perm17 1650.6751881206391772 2.71608998e+00 1.21016077e-02 4.73433024e-02 2.28162758e-02 2.49590599e+02 8.71402851e-02
gen44perm5 1650.7560929361584385 2.72117044e+00 9.87785464e-03 4.68360954e-02 2.14167896e-02 2.45794254e+02 8.64245224e-02
gen44perm23 1650.9820151851629362 2.71608998e+00 1.18598857e-02 4.68360954e-02 2.14167896e-02 2.45794254e+02 8.64245224e-02
gen44perm27 1651.0374770572811940 2.71507454e+00 1.22322945e-02 4.68360954e-02 2.23372972e-02 2.52945948e+02 8.68197623e-02
gen44perm18 1651.2762473231425702 2.71608998e+00 1.09312156e-02 4.68360954e-02 2.26942049e-02 2.52945948e+02 8.62641750e-02
gen44perm32 1651.2811765936889969 2.74400710e+00 9.90207403e-03 4.73433024e-02 2.45470541e-02 2.49590599e+02 8.64245224e-02
gen44perm44 1651.2812037875642091 2.74400710e+00 1.01195837e-02 4.73433024e-02 2.01439107e-02 2.49590599e+02 8.64245224e-02
gen44perm16 1651.2914992736327804 2.71608998e+00 1.12754352e-02 4.68360954e-02 2.28162758e-02 1.97572151e+02 8.62641750e-02
gen44perm10 1651.3171818876000998 2.71608998e+00 1.17599528e-02 4.73433024e-02 2.58814773e+00 2.52945948e+02 8.79848504e-02
gen44perm4 1651.6146416785470592 2.71608998e+00 1.17599528e-02 4.65211233e-02 2.21607000e-02 2.49590599e+02 8.64245224e-02
gen44perm45 1651.6606175072897713 2.70898703e+00 1.21016077e-02 4.70231623e-02 2.28162758e-02 2.22812715e+02 8.74650364e-02
gen44perm9 1652.6693093229332590 2.68477897e+00 1.09312156e-02 4.75428274e-02 2.28162758e-02 2.55304194e+02 8.74650364e-02
gen44perm14 1652.8668134224089954 2.68477897e+00 1.27654976e-02 4.68360954e-02 2.28162758e-02 2.49590599e+02 8.64245224e-02
gen44perm7 1652.8677469868703156 2.68477897e+00 1.19999824e-02 4.68360954e-02 2.11275127e-02 2.45794254e+02 8.64245224e-02
gen44perm21 1653.9761516380165176 2.71608998e+00 1.16157331e-02 4.73433024e-02 2.24730001e-02 2.49590599e+02 8.64245224e-02
gen44perm22 1654.5786024729836754 2.74400710e+00 1.44073009e-02 4.68360954e-02 2.31990602e-02 2.40843875e+02 8.74650364e-02
gen44perm26 1656.1283718354152370 2.88456440e+00 1.04820758e-02 4.73433024e-02 2.28162758e-02 2.45794254e+02 8.74650364e-02
gen44perm8 1665.6286003542129492 2.71608998e+00 1.21016077e-02 4.86950373e-02 2.25294918e-02 2.22812715e+02 8.74650364e-02
gen44perm47 1668.6342352251363081 2.71608998e+00 1.21016077e-02 4.74101333e-02 2.14167896e-02 2.45794254e+02 8.99174824e-02
gen44perm29 1679.2870714512182531 2.59407679e+00 1.36867392e-02 4.73433024e-02 2.52390675e-02 2.50723322e+02 9.16040096e-02
gen44perm2 1691.6018584739520065 2.71608998e+00 1.08982234e-02 4.95516202e-02 2.09598354e-02 1.97572151e+02 8.74650364e-02
gen44perm34 1697.5122339322949756 2.68477897e+00 1.09312156e-02 4.68360954e-02 2.30967866e-02 2.52945948e+02 9.06779004e-02
gen44perm46 1710.6360831343813516 2.68477897e+00 1.15798244e-02 4.97805878e-02 2.25294918e-02 1.97572151e+02 8.74650364e-02
gen44perm48 1728.6798386162686256 2.68037286e+00 1.10826070e-02 4.68360954e-02 1.95140197e-02 2.36558607e+02 8.23500589e-02
gen44perm36 1743.0002022905057402 2.64415644e+00 1.08358605e-02 4.94676727e-02 2.28162758e-02 2.49590599e+02 8.64245224e-02
gen44perm20 1757.1175841607055190 2.68477897e+00 1.21016077e-02 4.94676727e-02 2.40853457e-02 2.49590599e+02 9.74781378e-02
gen44perm41 1766.9631333964136957 2.70898703e+00 1.17008916e-02 5.10652945e-02 2.18333545e-02 2.73465732e+02 8.74650364e-02
gen44perm49 1774.3794246260754335 2.81986830e+00 1.07981374e-02 5.13150110e-02 2.14167896e-02 2.45794254e+02 8.64245224e-02
gen44perm1 1776.4945687336321498 2.87745799e+00 1.12754352e-02 5.16436881e-02 2.28162758e-02 2.52945948e+02 8.62641750e-02
gen44perm35 1776.9613739844166957 2.84608971e+00 1.27654976e-02 4.68360954e-02 2.12027670e-02 2.45794254e+02 9.16040096e-02
gen44perm42 1797.1071110568434506 2.81986830e+00 1.15798244e-02 4.35409675e-02 2.28162758e-02 1.97572151e+02 8.64245224e-02
gen44perm30 1805.0901271461532360 2.74400710e+00 1.01195837e-02 4.94676727e-02 2.48990495e-02 2.40445544e+02 8.37190722e-02
gen44perm40 1832.7601345281195790 2.74400710e+00 1.04820758e-02 4.73433024e-02 2.28162758e-02 2.39671563e+02 7.99427794e-02
gen44perm3 1892.2314746964812002 2.68477897e+00 1.16157331e-02 4.25555390e-02 2.58814773e+00 2.45794254e+02 8.79848504e-02
