Permutation Chi-Sq K2RT__FREE__ KD1__FREE__ kdephos__FREE__ km1__FREE__ km2__FREE__ kphos__FREE__
gen17perm31 1734.2910234044049957 1.79015689e+00 1.13223484e-02 4.05904960e-02 2.18548782e-02 2.19108913e+02 9.06387107e-02
gen17perm27 1735.2137888416368696 1.71513964e+00 1.19340077e-02 4.05904960e-02 2.56262276e+00 1.94209130e+02 9.06387107e-02
gen17perm35 1743.5131854930518784 1.67086831e+00 1.27751488e-02 4.05904960e-02 2.50672745e+00 2.45974450e+02 9.06387107e-02
gen17perm48 1743.5217643003452395 1.67086831e+00 1.19340077e-02 4.05904960e-02 2.56262276e+00 2.35047980e+02 9.06387107e-02
gen17perm44 1745.0806799830945693 1.67086831e+00 1.24563133e-02 3.95959333e-02 2.56262276e+00 2.32021615e+02 8.91109450e-02
gen17perm38 1745.0933807677670302 1.67086831e+00 1.19340077e-02 3.95959333e-02 2.25710459e+00 2.15363291e+02 8.91109450e-02
gen17perm2 1747.5176795889883579 1.67086831e+00 1.19340077e-02 3.99531940e-02 2.50074856e+00 2.27396658e+02 8.91109450e-02
gen17perm15 1747.7923084564702094 1.67288755e+00 1.13223484e-02 4.05904960e-02 2.50074856e+00 2.16475784e+02 8.99807839e-02
gen17perm24 1748.1464693815976261 1.67086831e+00 1.14062912e-02 3.89779017e-02 2.68237571e+00 2.30759620e+02 8.91109450e-02
gen17perm17 1748.1514722678955422 1.67086831e+00 1.19340077e-02 3.89779017e-02 2.11126433e-02 2.15363291e+02 8.91109450e-02
gen17perm13 1748.1579613724190949 1.67086831e+00 1.17657006e-02 3.89779017e-02 2.57493724e+00 1.97381883e+02 8.91109450e-02
gen17perm14 1748.1580397676445955 1.67086831e+00 1.24563133e-02 3.89779017e-02 2.56262276e+00 1.97381883e+02 8.91109450e-02
gen17perm42 1748.1580815307015655 1.67086831e+00 1.19340077e-02 3.89779017e-02 2.18819745e-02 1.97381883e+02 8.91109450e-02
gen17perm6 1748.4084829075545713 1.67086831e+00 1.19340077e-02 3.89779017e-02 2.38982046e-02 2.27396658e+02 8.91657947e-02
gen17perm28 1748.4084829075545713 1.67086831e+00 1.19340077e-02 3.89779017e-02 2.38982046e-02 2.27396658e+02 8.91657947e-02
gen17perm36 1748.4216408993631831 1.67086831e+00 1.19340077e-02 3.89779017e-02 2.56262276e+00 1.88406658e+02 8.91657947e-02
gen17perm23 1748.7029427281620428 1.67086831e+00 1.19719299e-02 4.00497252e-02 5.70544009e+01 2.14227696e+02 8.91109450e-02
gen17perm29 1749.6673985611625994 1.63397053e+00 1.24563133e-02 3.95959333e-02 2.18548782e-02 2.14227696e+02 9.06387107e-02
gen17perm49 1750.0712479310877825 1.69927814e+00 1.19340077e-02 3.95959333e-02 2.50446046e+00 2.50067841e+02 8.72538936e-02
gen17perm26 1750.5437274953733322 1.67086831e+00 1.17657006e-02 3.82551071e-02 2.50074856e+00 1.97381883e+02 8.76307735e-02
gen17perm4 1750.9256278633920374 1.63942073e+00 1.22699958e-02 3.89779017e-02 2.50074856e+00 2.27741302e+02 8.91109450e-02
gen17perm41 1751.7208312432826460 1.67086831e+00 1.17657006e-02 3.82551071e-02 2.60460867e+00 2.30759620e+02 8.78654680e-02
gen17perm1 1752.5559115814896813 1.62920151e+00 1.19340077e-02 3.89779017e-02 2.32286971e+00 2.15363291e+02 8.91109450e-02
gen17perm47 1754.3582711567764818 1.67086831e+00 1.35821493e-02 3.86159676e-02 2.31522894e+00 1.94209130e+02 8.91109450e-02
gen17perm21 1755.4275646628098002 1.67086831e+00 1.19340077e-02 3.85680586e-02 2.50074856e+00 2.14227696e+02 8.91109450e-02
gen17perm50 1755.4276285096912034 1.67086831e+00 1.24563133e-02 3.85680586e-02 2.66766472e+00 2.11534619e+02 8.91109450e-02
gen17perm30 1759.1559083615338750 1.67086831e+00 1.13223484e-02 4.05904960e-02 5.77199856e+01 2.21643390e+02 8.91109450e-02
gen17perm11 1759.1720172364111932 1.67086831e+00 1.19340077e-02 4.05904960e-02 2.56262276e+00 2.11385730e+02 8.91109450e-02
gen17perm7 1760.4272772541398808 1.62095423e+00 1.13223484e-02 3.96454930e-02 2.18548782e-02 2.11534619e+02 8.91109450e-02
gen17perm34 1762.3022600262770538 1.67086831e+00 1.13223484e-02 3.89779017e-02 2.50074856e+00 1.97381883e+02 9.06387107e-02
gen17perm19 1763.0036921608154898 1.60063003e+00 1.19340077e-02 3.86093433e-02 2.66994907e+00 2.14227696e+02 8.80038338e-02
gen17perm20 1763.1876138783097758 1.67086831e+00 1.19719299e-02 3.89779017e-02 5.70544009e+01 2.15363291e+02 8.61346666e-02
gen17perm46 1763.8624296470104582 1.67086831e+00 1.17671256e-02 3.82551071e-02 2.53868982e+00 1.97381883e+02 8.91109450e-02
gen17perm9 1763.8663225014806812 1.67086831e+00 1.10189365e-02 3.82551071e-02 2.11126433e-02 2.11534619e+02 8.91109450e-02
gen17perm22 1768.9280900542653399 1.67086831e+00 1.32241059e-02 3.72825544e-02 2.49994896e+00 2.15363291e+02 8.72538936e-02
gen17perm8 1770.9639645420484158 1.81092208e+00 1.11818331e-02 3.89779017e-02 2.68237571e+00 2.30759620e+02 8.91109450e-02
gen17perm37 1772.9077960118681858 1.69927814e+00 1.19340077e-02 4.19193568e-02 2.50074856e+00 2.11534619e+02 9.72936267e-02
gen17perm16 1772.9118917048947424 1.81662862e+00 1.19340077e-02 3.89779017e-02 2.18548782e-02 2.03714650e+02 8.91109450e-02
gen17perm39 1777.1872380281477035 1.82829314e+00 1.24259332e-02 3.89779017e-02 2.50074856e+00 2.33447406e+02 8.91109450e-02
gen17perm25 1785.1259961996156562 1.67086831e+00 1.07691493e-02 3.89779017e-02 2.56262276e+00 2.09680168e+02 9.19399513e-02
gen17perm45 1785.7195907274895035 1.57187175e+00 1.19340077e-02 3.89779017e-02 2.50446046e+00 1.97381883e+02 8.78654680e-02
gen17perm43 1794.3060307166988423 1.67086831e+00 1.24563133e-02 3.75065124e-02 5.70544009e+01 1.81977082e+02 8.91109450e-02
gen17perm12 1815.5373998223908529 1.81701334e+00 1.19340077e-02 3.89779017e-02 2.50074856e+00 2.27396658e+02 9.06387107e-02
gen17perm32 1818.4072259296858647 1.67086831e+00 1.12332339e-02 3.67539104e-02 2.50074856e+00 2.03714650e+02 8.83986183e-02
gen17perm10 1825.2187719091443796 1.71599483e+00 1.17657006e-02 3.89779017e-02 2.56262276e+00 2.14227696e+02 8.24305842e-02
gen17perm3 1829.9827543331059587 1.67086831e+00 1.19340077e-02 3.82077177e-02 2.50074856e+00 1.97381883e+02 9.19989784e-02
gen17perm5 1861.7548410464696644 1.59788653e+00 1.19340077e-02 3.58389165e-02 2.50074856e+00 2.14036609e+02 8.91109450e-02
gen17perm18 1886.1156982178868020 1.71599483e+00 1.17657006e-02 3.65356826e-02 2.50074856e+00 2.11534619e+02 8.91109450e-02
gen17perm33 2072.5022822673545306 1.67086831e+00 1.17657006e-02 4.05904960e-02 2.18548782e-02 2.11534619e+02 8.11241797e-02
gen17perm40 2160.3326496177587615 1.63488411e+00 1.22296716e-02 3.71343600e-02 2.33061556e+00 2.15363291e+02 9.77474031e-02
