Permutation Chi-Sq K2RT__FREE__ KD1__FREE__ kdephos__FREE__ km1__FREE__ km2__FREE__ kphos__FREE__
gen7perm20 2015.3343721418741552 6.43154575e+00 9.42822749e+01 1.28826798e-03 5.09392761e-01 4.81593618e-02 3.84060462e-03
gen7perm6 2016.0117099649312422 6.43154575e+00 9.88146867e+01 1.20400042e-03 5.92300559e+02 4.81593618e-02 3.67062088e-03
gen7perm13 2021.2910364714673506 6.11510967e+00 1.33756185e+02 1.20400042e-03 6.06771089e+02 4.64598583e-02 3.84060462e-03
gen7perm9 2047.2757827283351162 6.11510967e+00 2.78722099e+01 1.28230074e-03 5.92300559e+02 2.36447094e+00 3.89698736e-03
gen7perm44 2049.2606614680294115 6.11510967e+00 3.68521691e+02 1.20400042e-03 5.92300559e+02 4.81593618e-02 3.84060462e-03
gen7perm49 2053.2166991060271357 6.11510967e+00 1.26821612e+02 1.20400042e-03 2.16085475e+00 9.79970836e-02 3.85322531e-03
gen7perm46 2054.6687363313330934 6.11510967e+00 1.19340077e-02 1.22864309e-03 2.50074856e+00 2.11534619e+02 3.84060462e-03
gen7perm25 2061.2715817544508354 6.07242872e+00 1.26821612e+02 1.12255904e-03 5.92300559e+02 2.49108753e+00 3.70768050e-03
gen7perm1 2063.7921245199281657 6.19299117e+00 4.42704064e+01 1.16987966e-03 5.49184898e+02 7.42410298e-02 3.84060462e-03
gen7perm2 2075.4838548347415781 6.11510967e+00 4.51403773e+02 1.20400042e-03 5.30747038e+01 4.89560467e+00 3.75731408e-03
gen7perm47 2075.6469410359773065 6.67039903e+00 9.88146867e+01 1.11532646e-03 3.67953554e-02 4.72190047e-02 3.70768050e-03
gen7perm33 2078.0910621289217488 5.85470077e+00 2.77219388e+01 1.12255904e-03 5.43059550e-02 4.81593618e-02 3.94369506e-03
gen7perm11 2100.8789685989409008 6.67360662e+00 1.01995954e+02 1.20400042e-03 5.43059550e-02 5.36796976e-02 3.84060462e-03
gen7perm39 2101.4951395149123528 6.25060917e+00 3.85250549e+02 1.20400042e-03 2.38645309e+00 1.12466394e-01 3.84060462e-03
