Permutation Chi-Sq K2RT__FREE__ KD1__FREE__ kdephos__FREE__ km1__FREE__ km2__FREE__ kphos__FREE__
gen5perm1 2051.5686965507616151 6.43154575e+00 9.83585525e+01 1.20400042e-03 5.46236224e-02 4.81593618e-02 3.84060462e-03
gen5perm26 2069.6999613025695908 6.07242872e+00 4.42516317e+02 1.20400042e-03 4.90050810e+01 5.25711735e+00 3.75731408e-03
gen5perm48 2089.0562861300836630 6.11510967e+00 1.26821612e+02 1.20400042e-03 5.92300559e+02 2.49108753e+00 3.84060462e-03
gen5perm2 2146.2191293725372816 6.11510967e+00 9.94247640e+02 1.20400042e-03 5.43059550e-02 4.81593618e-02 3.67724831e-03
gen5perm30 2385.4663047677936447 3.83190446e+00 4.80379881e+01 1.20400042e-03 2.38645309e+00 1.04942536e-01 4.02539809e-03
gen5perm47 2429.0089623813391881 7.81183283e+00 3.51822882e+02 1.09029998e-03 6.15801886e+02 5.17369080e-02 3.70768050e-03
gen5perm11 2504.3576917372374737 7.81183283e+00 2.78722099e+01 1.12255904e-03 5.92300559e+02 2.36447094e+00 3.70768050e-03
gen5perm14 2512.5013118040001245 7.81183283e+00 1.20807614e+02 1.12255904e-03 5.92300559e+02 2.49108753e+00 3.70768050e-03
gen5perm6 2669.2404433177230203 1.29828052e-03 2.97945074e+01 1.13705955e-01 2.38982046e-02 5.81014197e+02 1.13820445e+02
gen5perm35 2972.3439625867667928 2.53358960e-01 2.97945074e+01 1.13705955e-01 2.38982046e-02 5.81014197e+02 5.29283214e-01
gen5perm42 3171.8335400428118191 3.50778045e+00 4.41049055e+01 1.20400042e-03 5.49184898e+02 5.54625986e-02 3.84060462e-03
gen5perm13 3243.6117386865034860 1.52685855e+00 9.42822749e+01 1.35065723e-02 5.09392761e-01 1.69560046e-02 8.77042703e-02
gen5perm7 3265.7079856807777105 2.61504480e-01 2.97945074e+01 1.40531343e-02 2.79390350e-01 5.81014197e+02 9.65198156e-02
gen5perm41 3466.0666531399128871 2.61504480e-01 4.42704064e+01 8.87273709e-02 2.79454794e-03 3.97957466e-01 7.55864915e+01
gen5perm43 3587.2572601395618221 1.13083602e+02 9.46541301e+01 5.49619473e-02 2.38645309e+00 1.04720658e-01 7.71242905e-02
gen5perm44 3593.3935677917975227 1.10119710e+02 3.08072211e-02 5.62403615e-02 5.92300559e+02 1.04942536e-01 7.91780305e-02
gen5perm50 4008.5973796785847298 1.13083602e+02 2.97945074e+01 1.23895064e-01 2.06649953e+01 1.04942536e-01 8.35585288e-02
gen5perm40 4054.3634849642417066 2.53358960e-01 4.42516317e+02 1.13705955e-01 4.90050810e+01 5.25711735e+00 4.80078013e-01
gen5perm39 4315.1833936214798086 2.61504480e-01 2.22016696e+02 1.35147847e-01 2.29644104e+00 5.69955040e+00 5.29283214e-01
gen5perm12 4361.0954005139383298 1.13188124e-03 1.20807614e+02 1.35030171e-01 2.38982046e-02 5.81014197e+02 9.23535205e+01
gen5perm29 4662.7018961586336445 1.19977751e+02 3.08072211e-02 5.62403615e-02 5.49184898e+02 5.17369080e-02 9.13926859e-02
gen5perm5 5266.1186307564930758 2.53358960e-01 8.71835480e+01 1.23895064e-01 2.64529068e+00 1.20172557e+00 5.29283214e-01
gen5perm49 5294.9299381705250198 1.15259083e-03 9.69717034e+01 5.62403615e-02 2.38982046e-02 5.69352462e+02 1.06741348e+02
gen5perm20 6205.6931485983850507 1.52685855e+00 5.57472898e+02 1.23895064e-01 2.54149798e+00 5.74635693e+00 5.29283214e-01
gen5perm17 6481.4156173721366940 1.52685855e+00 9.42822749e+01 1.20400042e-03 5.51369449e-01 9.64358896e-02 4.10385054e-03
