Permutation Chi-Sq K2RT__FREE__ KD1__FREE__ kdephos__FREE__ km1__FREE__ km2__FREE__ kphos__FREE__
gen47perm4 1645.4026736402565803 2.87745799e+00 1.37390849e-02 4.77033611e-02 2.04476348e-02 2.50507791e+02 8.62641750e-02
gen47perm41 1645.4029521576844672 2.87745799e+00 1.09312156e-02 4.77033611e-02 2.34688244e-02 2.45794254e+02 8.62641750e-02
gen47perm15 1646.0880029242521232 2.87745799e+00 1.10826070e-02 4.74101333e-02 2.12676120e-02 2.73027727e+02 8.62641750e-02
gen47perm12 1646.0880344969134512 2.87745799e+00 1.12754352e-02 4.74101333e-02 2.13242525e-02 2.73027727e+02 8.62641750e-02
gen47perm27 1646.0931291672079624 2.85377318e+00 1.09312156e-02 4.77033611e-02 2.28162758e-02 2.45794254e+02 8.64245224e-02
gen47perm25 1646.6801132195148512 2.84052821e+00 1.04820758e-02 4.77033611e-02 2.13242525e-02 2.45794254e+02 8.64245224e-02
gen47perm30 1647.1289335478552402 2.84052821e+00 1.25216021e-02 4.77033611e-02 2.14167896e-02 2.45794254e+02 8.62641750e-02
gen47perm9 1647.1570248358216304 2.81986830e+00 1.09312156e-02 4.74101333e-02 2.34688244e-02 2.45794254e+02 8.64245224e-02
gen47perm46 1647.1570860874735445 2.81986830e+00 1.09312156e-02 4.74101333e-02 2.14167896e-02 2.45794254e+02 8.64245224e-02
gen47perm10 1647.1967292511833421 2.81986830e+00 1.10826070e-02 4.77033611e-02 2.19276935e-02 2.45794254e+02 8.66555645e-02
gen47perm42 1647.2241738653351604 2.81986830e+00 1.37390849e-02 4.73433024e-02 2.36874174e-02 2.50507791e+02 8.64245224e-02
gen47perm49 1647.2477898163569989 2.81986830e+00 1.10826070e-02 4.73433024e-02 2.19610682e-02 2.25246991e+02 8.62641750e-02
gen47perm40 1647.2668767513234798 2.81986830e+00 1.37390849e-02 4.74101333e-02 2.36874174e-02 2.50507791e+02 8.66555645e-02
gen47perm26 1647.2984697578824580 2.81986830e+00 1.09312156e-02 4.74101333e-02 2.03847016e-02 2.59686588e+02 8.62641750e-02
gen47perm5 1647.5116659833538506 2.81986830e+00 1.10826070e-02 4.73433024e-02 2.19276935e-02 2.45794254e+02 8.66555645e-02
gen47perm2 1647.6367091301306118 2.87745799e+00 1.10826070e-02 4.74101333e-02 2.19276935e-02 2.50507791e+02 8.66555645e-02
gen47perm29 1647.8738352567927450 2.74400710e+00 1.05704577e-02 4.94676727e-02 1.85988075e-02 2.69779614e+02 9.05094014e-02
gen47perm37 1647.8740854210147972 2.74400710e+00 1.25216021e-02 4.94676727e-02 2.28162758e-02 2.69779614e+02 9.05094014e-02
gen47perm16 1648.1635193884599175 2.81986830e+00 1.09312156e-02 4.70231623e-02 2.19610682e-02 2.35239990e+02 8.62641750e-02
gen47perm6 1649.3820581813993158 2.75828085e+00 1.01195837e-02 4.74101333e-02 2.28162758e-02 2.45794254e+02 8.74650364e-02
gen47perm32 1649.5224057152677233 2.87745799e+00 1.09312156e-02 4.70231623e-02 2.19610682e-02 2.45794254e+02 8.62641750e-02
gen47perm38 1649.7937752571242527 2.74400710e+00 1.04820758e-02 4.73433024e-02 2.01471741e-02 2.49590599e+02 8.74650364e-02
gen47perm28 1651.4228564076538532 2.81986830e+00 1.18598857e-02 4.73433024e-02 2.34688244e-02 2.45794254e+02 8.74650364e-02
gen47perm43 1651.9073992781195557 2.87745799e+00 1.20000996e-02 4.74101333e-02 2.19276935e-02 2.73027727e+02 8.72392192e-02
gen47perm18 1652.1034124207017157 3.02650854e+00 1.04820758e-02 4.77033611e-02 2.02287015e-02 2.45794254e+02 8.66555645e-02
gen47perm44 1654.0814422648377331 2.81986830e+00 1.12754352e-02 4.84419693e-02 2.32673057e-02 2.45794254e+02 8.66555645e-02
gen47perm24 1655.4554473402993153 2.69453015e+00 1.10826070e-02 4.74101333e-02 2.19276935e-02 2.45794254e+02 8.66555645e-02
gen47perm35 1657.5715254647539041 2.60713385e+00 1.25216021e-02 4.50646173e-02 2.19276935e-02 2.45794254e+02 8.52321636e-02
gen47perm33 1657.9128195613302523 2.81986830e+00 1.10826070e-02 4.91522897e-02 2.14167896e-02 2.45794254e+02 9.12779766e-02
gen47perm39 1658.3809493620162812 2.69192552e+00 1.05468528e-02 4.73433024e-02 2.19276935e-02 2.45794254e+02 8.62641750e-02
gen47perm50 1658.4870315283376385 2.81986830e+00 1.10826070e-02 4.75477335e-02 2.24730001e-02 1.98830493e+02 8.85350238e-02
