Permutation Chi-Sq K2RT__FREE__ KD1__FREE__ kdephos__FREE__ km1__FREE__ km2__FREE__ kphos__FREE__
gen13perm40 1748.1475281211144193 1.67086831e+00 1.19340077e-02 3.89779017e-02 2.56262276e+00 2.27396658e+02 8.91109450e-02
gen13perm9 1754.3251019862734665 1.63327123e+00 1.19340077e-02 3.86093433e-02 2.56262276e+00 2.27741302e+02 8.91109450e-02
gen13perm23 1755.4276078456734922 1.67086831e+00 1.24563133e-02 3.85680586e-02 2.50074856e+00 2.14227696e+02 8.91109450e-02
gen13perm35 1756.2440923457936606 1.61148866e+00 1.19340077e-02 3.89779017e-02 2.50074856e+00 2.11534619e+02 8.91109450e-02
gen13perm42 1759.6465774775356294 1.62120446e+00 1.19719299e-02 3.82551071e-02 2.56262276e+00 2.30759620e+02 8.91109450e-02
gen13perm4 1763.8663778586387707 1.67086831e+00 1.19340077e-02 3.82551071e-02 2.50074856e+00 2.11534619e+02 8.91109450e-02
gen13perm32 1763.8670037894489724 1.67086831e+00 1.14561564e-02 3.82551071e-02 2.50074856e+00 2.14227696e+02 8.91109450e-02
gen13perm43 1763.8670540981167960 1.67086831e+00 1.19719299e-02 3.82551071e-02 5.70544009e+01 2.14227696e+02 8.91109450e-02
gen13perm18 1764.6840762631450161 1.58486688e+00 1.17657006e-02 3.89779017e-02 2.38982046e-02 1.97381883e+02 8.90216635e-02
gen13perm14 1771.3186593152322530 1.52685855e+00 1.19719299e-02 3.82551071e-02 2.34609586e+00 2.23298622e+02 9.00659876e-02
gen13perm17 1773.4245160125042275 1.71340031e+00 1.19340077e-02 3.82551071e-02 2.50074856e+00 2.11534619e+02 8.91109450e-02
gen13perm21 1774.2573398657493726 1.52685855e+00 1.19340077e-02 3.75130809e-02 2.50074856e+00 2.02596898e+02 8.91109450e-02
gen13perm36 1775.7876216751658376 1.52685855e+00 1.25662751e-02 3.82551071e-02 5.77126617e+01 2.30289660e+02 8.91109450e-02
gen13perm8 1775.7952518994723050 1.52685855e+00 1.17680815e-02 3.82551071e-02 2.56262276e+00 2.23298622e+02 8.91109450e-02
gen13perm28 1775.8028988309213219 1.52685855e+00 1.16819076e-02 3.82551071e-02 2.38982046e-02 2.17007900e+02 8.91109450e-02
gen13perm41 1775.8063688632907997 1.52685855e+00 1.19719299e-02 3.82551071e-02 2.38982046e-02 2.14227696e+02 8.91109450e-02
gen13perm47 1775.8074680551892470 1.52685855e+00 1.19448977e-02 3.82551071e-02 2.38982046e-02 2.13338755e+02 8.91109450e-02
gen13perm50 1775.8095600782039583 1.52685855e+00 1.14711201e-02 3.82551071e-02 2.50074856e+00 2.11534619e+02 8.91109450e-02
gen13perm24 1775.8095877332914370 1.52685855e+00 1.19719299e-02 3.82551071e-02 2.56262276e+00 2.11534619e+02 8.91109450e-02
gen13perm2 1775.8095929842545502 1.52685855e+00 1.19340077e-02 3.82551071e-02 5.70544009e+01 2.11534619e+02 8.91109450e-02
gen13perm27 1775.8096111177283092 1.52685855e+00 1.19340077e-02 3.82551071e-02 2.50074856e+00 2.11534619e+02 8.91109450e-02
gen13perm38 1775.8096111177283092 1.52685855e+00 1.19340077e-02 3.82551071e-02 2.50074856e+00 2.11534619e+02 8.91109450e-02
gen13perm37 1775.8097667934018773 1.52685855e+00 1.19340077e-02 3.82551071e-02 2.38982046e-02 2.11534619e+02 8.91109450e-02
gen13perm15 1775.8121715070587925 1.52685855e+00 1.16094318e-02 3.82551071e-02 2.25205996e-02 2.09658428e+02 8.91109450e-02
gen13perm19 1775.8292623170411844 1.52685855e+00 1.27947182e-02 3.82551071e-02 2.38982046e-02 1.97381883e+02 8.91109450e-02
gen13perm20 1775.8311697594456291 1.52685855e+00 1.19340077e-02 3.82551071e-02 2.38982046e-02 1.96007458e+02 8.91109450e-02
gen13perm45 1779.3099127856237374 1.51754340e+00 1.19340077e-02 3.82551071e-02 2.56262276e+00 2.28555945e+02 8.91109450e-02
gen13perm26 1779.9011377031788470 1.52685855e+00 1.17680815e-02 3.74260566e-02 2.56262276e+00 2.11534619e+02 9.00027063e-02
gen13perm29 1780.3613193938604127 1.61148866e+00 1.27660399e-02 3.74260566e-02 2.22792356e-02 2.08069725e+02 8.91109450e-02
gen13perm6 1780.6528337064098650 1.52685855e+00 1.19340077e-02 3.70431826e-02 2.50074856e+00 1.92046777e+02 8.91109450e-02
gen13perm48 1782.6158878271562571 1.50963270e+00 1.19340077e-02 3.82551071e-02 2.58913522e+00 2.11534619e+02 8.91109450e-02
gen13perm49 1786.1460104219590903 1.52685855e+00 1.17680815e-02 3.86404115e-02 2.54431458e-02 2.11534619e+02 9.35165453e-02
gen13perm22 1802.7268075986389704 1.40816550e+00 1.19340077e-02 3.82551071e-02 5.70544009e+01 1.91028157e+02 9.55304031e-02
gen13perm33 1810.6306753248816221 1.53155317e+00 1.08205940e-02 3.96454930e-02 2.56262276e+00 2.25568047e+02 8.91109450e-02
gen13perm39 1825.3551781007918180 1.61148866e+00 1.27287108e-02 3.64919040e-02 2.50074856e+00 2.11534619e+02 8.91109450e-02
gen13perm10 1838.4285231372830367 1.52685855e+00 1.09677547e-02 3.82551071e-02 2.38982046e-02 2.29670720e+02 8.57130810e-02
gen13perm3 1847.1901768098925913 1.41164285e+00 1.19340077e-02 3.82551071e-02 2.50074856e+00 2.13881760e+02 8.91109450e-02
gen13perm16 1850.0585053241452442 1.61148866e+00 4.42704064e+01 4.16222156e-02 5.70544009e+01 2.30289660e+02 8.91109450e-02
gen13perm11 1852.3115481446438935 1.52685855e+00 1.19719299e-02 3.88699269e-02 2.38982046e-02 2.11534619e+02 9.71214230e-02
gen13perm1 1853.2096240975599812 1.40506902e+00 1.18460915e-02 3.82551071e-02 2.68756574e+00 2.11534619e+02 8.91109450e-02
gen13perm7 1860.1908356418327912 1.52685855e+00 1.19578912e-02 3.52511715e-02 2.38982046e-02 2.11534619e+02 8.91109450e-02
gen13perm25 1868.6792381296997974 1.52685855e+00 1.20931527e-02 3.51311667e-02 2.38982046e-02 2.11534619e+02 8.91109450e-02
gen13perm13 1880.2742385401352294 1.81685896e+00 1.27287108e-02 3.74260566e-02 2.56262276e+00 2.14227696e+02 8.91109450e-02
gen13perm46 1906.1586569339126527 1.52685855e+00 1.27660399e-02 3.74260566e-02 2.22792356e-02 2.04571542e+02 8.23143484e-02
gen13perm34 1908.9162016609398052 1.63327123e+00 1.19340077e-02 3.55722994e-02 2.20378712e-02 1.92407195e+02 8.91109450e-02
gen13perm44 1915.8766098521291497 1.52685855e+00 4.42704064e+01 3.82551071e-02 2.56262276e+00 2.30289660e+02 9.75462622e-02
gen13perm5 1924.0763775330112821 1.63327123e+00 1.19340077e-02 3.82551071e-02 2.38982046e-02 2.11534619e+02 9.55024249e-02
gen13perm12 1947.1492649393289867 1.52685855e+00 1.19340077e-02 4.17808427e-02 2.38982046e-02 2.11534619e+02 8.91109450e-02
gen13perm31 1987.5432725744897198 1.67086831e+00 1.08911360e-02 3.82551071e-02 2.57925590e+00 2.11534619e+02 9.61607275e-02
gen13perm30 1996.5584179197969661 1.52685855e+00 1.07675940e-02 4.23751761e-02 2.50074856e+00 2.11534619e+02 8.91109450e-02
