Permutation Chi-Sq K2RT__FREE__ KD1__FREE__ kdephos__FREE__ km1__FREE__ km2__FREE__ kphos__FREE__
gen27perm20 1695.4803324732640704 2.05959983e+00 1.19340077e-02 4.20213350e-02 2.78577191e+00 2.49590599e+02 8.71342622e-02
gen27perm38 1697.0433260986033019 2.06476102e+00 1.16672931e-02 4.18272368e-02 2.59880515e+00 2.39522704e+02 8.71342622e-02
gen27perm48 1697.0964607964615425 2.09582195e+00 1.12874198e-02 4.20213350e-02 2.59880515e+00 1.70576634e+02 8.74650364e-02
gen27perm4 1697.0983720708190958 2.09582195e+00 1.26907161e-02 4.20213350e-02 2.59880515e+00 2.39522704e+02 8.74650364e-02
gen27perm24 1697.0984060708608467 2.09582195e+00 1.14889990e-02 4.20213350e-02 2.59880515e+00 2.49590599e+02 8.74650364e-02
gen27perm2 1698.4377507627239083 2.02175036e+00 1.19340077e-02 4.20213350e-02 2.18548782e-02 1.95675563e+02 8.74650364e-02
gen27perm37 1699.6088957046331416 1.99423007e+00 1.19340077e-02 4.29782397e-02 2.18548782e-02 1.79503307e+02 8.91109450e-02
gen27perm39 1701.2655568029113056 1.95905872e+00 1.15226849e-02 4.34363020e-02 2.80180336e+00 1.79503307e+02 9.07227096e-02
gen27perm10 1704.1900196934250289 1.95905872e+00 1.28205375e-02 4.20213350e-02 2.35144081e-02 2.49590599e+02 8.87031906e-02
gen27perm19 1704.1930023548634381 1.95905872e+00 1.11931961e-02 4.20213350e-02 2.78577191e+00 2.39522704e+02 8.87031906e-02
gen27perm40 1704.2128504096879169 1.95905872e+00 1.29630793e-02 4.20213350e-02 2.78577191e+00 1.92095618e+02 8.87031906e-02
gen27perm35 1704.2980457336759628 1.97117203e+00 1.11556399e-02 4.18272368e-02 2.18548782e-02 2.11534619e+02 8.74650364e-02
gen27perm1 1704.9576032757981920 1.95905872e+00 1.19340077e-02 4.18272368e-02 2.02865674e-02 2.11534619e+02 8.78478011e-02
gen27perm17 1705.0076224635356539 1.97117203e+00 1.19340077e-02 4.20213350e-02 2.78577191e+00 2.25731960e+02 8.91109450e-02
gen27perm16 1705.6720753362178584 1.97117203e+00 1.19340077e-02 4.18272368e-02 2.80180336e+00 1.79503307e+02 8.87798541e-02
gen27perm46 1705.8309109822857863 1.92010085e+00 1.21107249e-02 4.44972988e-02 2.35144081e-02 2.11534619e+02 9.26950709e-02
gen27perm50 1706.2626800313698823 1.95905872e+00 1.17746257e-02 4.18272368e-02 2.59880515e+00 2.19534524e+02 8.74650364e-02
gen27perm43 1706.2678607945586009 1.95905872e+00 1.19340077e-02 4.18272368e-02 2.18548782e-02 2.12653984e+02 8.74650364e-02
gen27perm18 1706.2975033635691489 1.95905872e+00 1.08614127e-02 4.18272368e-02 2.15008235e-02 1.79503307e+02 8.74650364e-02
gen27perm34 1706.3076762572445659 1.95905872e+00 1.28205375e-02 4.18272368e-02 2.78577191e+00 1.70576634e+02 8.74650364e-02
gen27perm42 1706.3076959370059740 1.95905872e+00 1.19340077e-02 4.18272368e-02 2.35144081e-02 1.70576634e+02 8.74650364e-02
gen27perm36 1707.4756373317961788 1.95905872e+00 1.17746257e-02 4.18272368e-02 2.59880515e+00 2.12653984e+02 8.91109450e-02
gen27perm6 1707.4806853279108054 1.95905872e+00 1.28205375e-02 4.18272368e-02 2.78577191e+00 1.79503307e+02 8.91109450e-02
gen27perm9 1707.4808344384659904 1.95905872e+00 1.59620503e-02 4.18272368e-02 2.78577191e+00 1.80775926e+02 8.91109450e-02
gen27perm11 1707.7818825886906779 1.97117203e+00 1.19340077e-02 4.18272368e-02 2.18548782e-02 2.12653984e+02 8.91109450e-02
gen27perm47 1707.8252188768121869 1.95905872e+00 1.26907161e-02 4.20213350e-02 2.35144081e-02 2.49590599e+02 8.74650364e-02
gen27perm41 1707.8541433091229464 1.95905872e+00 1.12874198e-02 4.20213350e-02 2.18548782e-02 2.11534619e+02 8.74650364e-02
gen27perm22 1707.8874839958868961 1.95905872e+00 1.12874198e-02 4.20213350e-02 2.59880515e+00 1.80029213e+02 8.74650364e-02
gen27perm23 1707.8883234558581989 1.95905872e+00 1.26907161e-02 4.20213350e-02 2.59880515e+00 1.79503307e+02 8.74650364e-02
