Permutation Chi-Sq K2RT__FREE__ KD1__FREE__ kdephos__FREE__ km1__FREE__ km2__FREE__ kphos__FREE__
gen1perm7 2130.2027077686657321 6.11510967e+00 9.94247640e+02 1.20400042e-03 5.43059550e-02 4.81593618e-02 3.84060462e-03
gen1perm24 3750.6864950002741352 2.61504480e-01 2.22016696e+02 1.23895064e-01 2.54149798e+00 5.69955040e+00 5.29283214e-01
gen1perm38 4015.6531729176326735 1.13083602e+02 3.08072211e-02 5.62403615e-02 2.38645309e+00 1.04942536e-01 8.35585288e-02
gen1perm49 5268.5504150567176112 6.58457643e+00 7.84463053e-01 3.82551071e-02 2.06649953e+01 8.96562202e+00 9.65198156e-02
gen1perm2 5462.0894032296391742 3.50778045e+00 1.24951603e-02 3.46500165e-02 2.79390350e-01 7.01934343e-02 1.51897577e-01
gen1perm46 6114.6405588737907237 7.51219577e+00 4.38239636e+02 2.47408013e+01 4.90050810e+01 5.25711735e+00 1.23201143e+02
gen1perm10 7030.3183000181752504 1.52685855e+00 9.42822749e+01 1.43082139e-02 5.51369449e-01 2.11534619e+02 8.19806055e-02
gen1perm28 9830.8204716012896824 7.81183283e+00 3.51822882e+02 9.20732476e+00 5.92300559e+02 3.53216930e+00 9.55798433e+01
gen1perm20 10546.3637805009439035 5.96894516e-03 7.23523514e+00 1.09344907e-01 6.59541420e+02 1.29178005e+01 7.61683733e+00
gen1perm3 10901.1292155594746873 1.34969237e-02 1.20807614e+02 1.17119494e-01 5.39395908e+01 2.51833551e+00 1.07033328e+01
gen1perm31 11125.9190776963514509 8.76796992e+02 9.02374358e+01 6.03258329e-03 4.00052933e+01 1.69560046e-02 2.19027223e-02
gen1perm23 11342.9274782561042230 9.67534615e+02 4.42704064e+01 6.41563138e-03 5.84923521e-03 3.97957466e-01 2.39420325e-02
gen1perm19 12908.3657245653757855 2.49436207e-01 8.71835480e+01 2.64018281e+01 4.16060827e-01 1.20172557e+00 6.27240412e+01
gen1perm25 13672.4654695984190766 3.84612845e+01 7.34046153e+00 1.73394890e+02 3.31523460e-02 1.21968201e+00 2.25120936e+01
gen1perm12 15551.7895555727936880 7.47498462e+00 2.80751013e-03 3.95609557e-01 4.38825267e-02 7.60322995e+01 2.69563680e-02
gen1perm26 15930.6909075633702741 1.61881850e+02 5.66784750e+02 4.71456993e-02 1.76072398e-01 2.60491856e+00 1.83766933e-03
gen1perm40 15936.2774346937112568 1.53091641e-01 7.60596701e-01 1.51400146e+00 1.65583319e-02 1.35963763e-01 6.49397348e-01
gen1perm8 16039.8581316955187503 2.49719266e-03 9.70453092e+01 1.94432988e+00 1.49835957e-01 1.04937793e+02 3.42545945e+01
gen1perm6 16115.1557055970533838 4.28106537e-01 3.86185907e+01 2.53482507e+02 7.70845912e-01 1.51971671e+01 3.47439025e+01
gen1perm21 16623.8459082904482784 4.41036306e+01 2.91065906e-01 5.03766927e+00 1.03997449e-01 1.15546413e+01 8.48706319e-02
gen1perm30 16721.0717536380216188 1.04329610e+01 1.32696050e-03 1.15373772e-01 5.78858035e-01 1.77112316e-01 1.90946423e-03
gen1perm13 16745.8940574346888752 1.53912899e+02 2.81275858e-02 1.28541850e-03 3.19857420e+01 2.52924783e+01 2.01708092e-02
gen1perm48 16825.6349511134139902 9.90317347e-01 1.24976153e-01 3.19329370e+00 4.32488447e-01 3.72094089e-01 7.57509803e-02
gen1perm39 16902.3614377881203836 7.18758866e-02 2.82014702e-03 1.39343724e+01 1.15536713e-02 2.30557342e+00 1.61836309e+00
gen1perm22 16931.3795648894265469 8.34224201e-03 2.24721962e-02 8.68481373e-03 7.98596534e-01 9.97428673e-03 1.38323947e+02
gen1perm42 16982.3897013356072421 5.53509733e+00 9.44301497e-01 1.68653138e+01 1.70941339e+00 2.61066243e-01 1.09002769e-01
gen1perm11 17007.8639775943920540 3.02538161e-03 1.82935474e+01 4.10499869e-03 2.17545122e+01 3.52106467e-02 3.68664531e-02
gen1perm37 17028.0505905766221986 5.05447891e-02 1.62506072e+00 2.81205975e+01 7.13750532e-02 3.34831938e+02 1.83308346e+00
gen1perm32 17048.3428631491515262 6.91259438e-03 1.59698118e+01 4.11838153e-01 4.87981306e-01 5.98690779e-03 6.08595096e+01
gen1perm45 17092.1851142820269160 1.61481013e+00 3.44428465e+02 1.56498023e+00 6.48265730e+00 8.22353896e+00 4.09510106e-03
gen1perm43 17110.8417332087665272 9.11905526e-03 6.81942376e-02 6.10789874e+01 1.63921285e-01 3.70190225e-02 5.60193231e+00
gen1perm34 17120.3179363991766877 7.84996913e+01 2.08114717e+00 5.70372164e+01 1.07314796e+02 1.22889860e+02 1.64502221e-02
gen1perm15 17122.9767322751176835 1.29197753e-03 2.97945074e+01 6.70227561e+02 2.38982046e-02 5.81014197e+02 1.13820445e+02
gen1perm1 17124.0310729125121725 1.08928021e-03 1.29036663e+00 2.63085820e+01 1.37570962e+02 5.71414174e-03 2.00728078e+01
gen1perm47 17124.6529907333861047 2.03467045e-02 4.44257097e+01 6.96376204e-01 3.07888941e-03 9.43896846e-02 6.32910000e-03
gen1perm50 17125.0893824210652383 7.05649057e+01 7.83747762e-01 6.98703738e+01 6.34714471e+00 1.31163663e-02 9.68896834e-03
gen1perm18 17126.5247485538820911 3.19577525e-02 8.34738678e-03 1.69672571e+02 5.48484176e+02 4.62161169e-01 4.85316955e-01
gen1perm16 17127.4018889563049015 6.45797889e+02 1.08143190e+02 1.20617406e+01 1.94893694e-01 4.22869962e-02 1.19538745e-03
gen1perm36 17128.1319946786607034 1.51838996e-03 8.67624694e-02 3.89956995e-02 6.00945348e+02 5.14479984e+01 1.34231448e-03
gen1perm4 17128.1612201029929565 2.30157766e-01 3.86852453e-03 9.67089455e+00 4.50277013e+01 3.09836016e-02 2.86258770e-03
gen1perm9 17129.2173741247170256 1.04615909e-03 1.30572202e-01 1.05562429e+01 1.80170195e+00 3.96723802e+00 6.41575004e-02
gen1perm14 17129.4445593366617686 2.59266094e-03 1.13375166e+00 4.61340844e+02 7.98503138e-03 5.44131903e+01 1.54761387e-03
gen1perm27 17130.4904607334210596 1.95667027e-03 8.59321521e+01 3.32862513e+00 1.13316282e-01 9.99737486e-03 2.66039927e-03
gen1perm33 17131.2702092239705962 3.49682236e-03 2.42828453e+02 1.88656957e-01 3.89774500e-02 9.90512872e+02 2.18309841e-03
gen1perm17 17134.7369071943721792 4.87614994e-02 3.79728885e+02 5.82844657e+02 3.82705224e-03 2.39720139e-01 1.02747069e-01
gen1perm41 17304.8168176247236261 6.55612527e+01 1.25809476e+01 5.99388216e-03 5.33884831e+00 1.15354328e+01 1.25615940e-01
gen1perm29 18112.4336594622109260 7.60917471e-03 5.48502983e+01 4.29430572e-03 4.41972931e-03 7.90676196e+01 4.20469803e+01
gen1perm44 18320.6837149271923408 8.97293774e-01 2.06372472e+00 8.01206688e-02 2.79454794e-03 5.43310019e+00 7.55864915e+01
gen1perm35 18886.8478186910142540 5.87887716e+00 8.09183766e-02 1.49679785e-01 1.35970665e-02 4.09984842e+00 6.45822301e+02
gen1perm5 18903.1821186065863003 4.53295844e+01 4.35436794e-03 3.24399653e-02 1.62152018e-01 4.99418853e+02 4.67887187e+00
