Permutation Chi-Sq K2RT__FREE__ KD1__FREE__ kdephos__FREE__ km1__FREE__ km2__FREE__ kphos__FREE__
gen40perm47 1649.9059524598833377 2.68477897e+00 1.27654976e-02 4.94676727e-02 2.28162758e-02 2.49590599e+02 9.16040096e-02
gen40perm6 1650.9820162742976208 2.71608998e+00 1.18598857e-02 4.68360954e-02 2.14167896e-02 2.45794254e+02 8.64245224e-02
gen40perm15 1651.7679100415537050 2.68477897e+00 1.18598857e-02 4.73433024e-02 2.28162758e-02 2.03690854e+02 8.74650364e-02
gen40perm39 1652.0780353361469679 2.68477897e+00 1.17008916e-02 4.69677498e-02 2.28162758e-02 2.73465732e+02 8.74650364e-02
gen40perm27 1652.8361663915857207 2.68477897e+00 1.10799312e-02 4.68360954e-02 2.28162758e-02 2.49590599e+02 8.74650364e-02
gen40perm5 1652.8362296115119534 2.68477897e+00 1.04820758e-02 4.68360954e-02 2.28162758e-02 2.43994601e+02 8.74650364e-02
gen40perm33 1652.8362345271070808 2.68477897e+00 1.09312156e-02 4.68360954e-02 2.28162758e-02 2.45794254e+02 8.74650364e-02
gen40perm1 1652.8362563092525761 2.68477897e+00 1.18598857e-02 4.68360954e-02 2.28162758e-02 2.49590599e+02 8.74650364e-02
gen40perm43 1652.8362901365399011 2.68477897e+00 1.21016077e-02 4.68360954e-02 2.28162758e-02 2.49590599e+02 8.74650364e-02
gen40perm37 1652.8363345355051024 2.68477897e+00 1.21016077e-02 4.68360954e-02 2.28162758e-02 2.45794254e+02 8.74650364e-02
gen40perm13 1652.8364103671958674 2.68477897e+00 1.31860282e-02 4.68360954e-02 2.28162758e-02 2.49590599e+02 8.74650364e-02
gen40perm19 1652.8366699991092901 2.68477897e+00 1.25927144e-02 4.68360954e-02 2.08850462e-02 2.36741751e+02 8.74650364e-02
gen40perm40 1652.8367249764123699 2.68477897e+00 1.25216021e-02 4.68360954e-02 2.04204445e-02 2.34175051e+02 8.74650364e-02
