Permutation	/Users/alex/Desktop/BioNetFit_v1/examples/example5/example5_example5
perm34	3040011.87874153
perm30	3056016.08442926
perm31	3056033.19075318
perm22	3056056.29075508
perm40	3056659.60756934
perm49	3061174.5155621
perm42	3064379.99124788
perm18	3068895.19668253
perm26	3078275.8971296
perm37	3078275.91521988
perm44	3083098.45989292
perm43	3084393.3118995
perm9	3084393.39865537
perm16	3084978.8558509
perm25	3096393.66556157
perm2	3096833.38832807
perm38	3097369.69470701
perm50	3103936.0656242
perm27	3111208.63688895
perm19	3111222.32171813
perm36	3111224.59998486
perm41	3111224.95059415
perm1	3111225.05019075
perm4	3111226.82143217
perm5	3111227.03968774
perm3	3111227.28039184
perm33	3111227.28039184
perm23	3111227.42228645
perm13	3111236.31740832
perm10	3111237.77609114
perm6	3117446.21516369
perm47	3143437.24612762
perm7	3199517.57969488
perm14	3239595.23633623
perm32	3268138.0106544
perm45	3310243.3159923
perm48	3338776.66593842
perm21	3342457.96082733
perm46	3374711.8509031
perm29	3388771.96701678
perm35	3407869.18189555
perm20	3415172.88665305
perm12	3422959.64808983
perm17	3436810.02868081
perm11	3529702.93914007
perm39	3643251.18919981
perm24	3677691.77899206
perm15	3883893.41385313
perm28	3982904.77549838
perm8	4656978.59075989
