Permutation	/Users/alex/Desktop/BioNetFit_v1/examples/example5/example5_example5
perm50	2915473.72495156
perm39	2916882.44630727
perm31	2939662.81578101
perm16	2939668.07926357
perm23	2946230.04910961
perm24	2946246.38351108
perm17	2946250.42728351
perm32	2946257.42440166
perm35	2949864.42439826
perm44	2949906.54461116
perm40	2949906.61840059
perm7	2949908.07964862
perm29	2949980.163934
perm18	2952789.14368405
perm15	2966588.79021796
perm30	2967486.65980851
perm5	2969998.40736374
perm37	2971557.57388607
perm38	2972692.94901858
perm9	2973043.78970879
perm33	2976842.47812649
perm13	2976856.79398236
perm21	2978962.22672601
perm47	2978976.15984231
perm48	2979011.60331657
perm26	2979030.85426355
perm11	2979045.11139396
perm8	2979985.13761115
perm14	2982604.73594948
perm1	2984782.95826669
perm22	2987637.72603495
perm25	2988700.89204161
perm34	2993388.93629287
perm43	2993504.54126066
perm42	2995323.11158344
perm12	2997735.44251953
perm46	2999266.27564317
perm6	3005511.84119606
perm49	3005542.27661258
perm36	3010357.8114022
perm2	3021281.14090817
perm41	3027620.73581522
perm4	3100509.84316302
perm19	3377524.51673837
perm3	3385353.11017046
perm27	3516009.02139005
perm28	3558067.39992563
perm10	3657372.11315249
perm20	3669233.72198973
perm45	3978024.40781489
