Permutation	/Users/alex/Desktop/BioNetFit_v1/examples/example5/example5_example5
perm29	2721821.14094158
perm50	2722189.38392604
perm18	2724290.68043608
perm41	2726667.47940669
perm17	2726713.24474862
perm2	2731866.65495091
perm4	2731867.49357343
perm14	2731867.80199232
perm20	2731867.80199232
perm47	2731867.80490403
perm6	2731867.91102698
perm42	2731867.97985317
perm24	2731868.05733011
perm23	2731868.26989084
perm26	2731868.45621367
perm22	2731868.80338204
perm16	2731869.12755158
perm30	2731872.23815383
perm5	2731872.93159777
perm15	2732417.5168678
perm40	2733718.00010246
perm7	2734024.11584361
perm46	2737627.32491018
perm48	2740977.53809867
perm9	2740977.87317325
perm34	2740983.11443404
perm37	2741320.45238454
perm49	2744174.92263204
perm31	2745183.90041646
perm44	2746868.76608971
perm39	2748331.64256214
perm10	2751977.59849335
perm27	2755479.32475132
perm1	2764092.17081459
perm25	2778819.0308223
perm8	2835126.27216751
perm36	2835371.53692571
perm3	2889890.64305642
perm12	2928571.14010167
perm19	3048125.34995823
perm35	3125900.82626959
perm28	3214292.09975395
perm21	3223871.44808876
perm33	3232949.87189803
perm11	3258412.9083431
perm13	3258823.41685142
perm43	3393223.37176918
perm38	3400347.27314411
perm45	3405243.60379082
perm32	3919334.47346259
