Permutation	/Users/alex/Desktop/BioNetFit_v1/examples/example5/example5_example5
perm27	2731865.89191482
perm10	2731867.80199232
perm12	2731867.80199232
perm9	2731867.99497776
perm46	2731868.05733011
perm48	2731981.52902395
perm5	2732430.62731958
perm38	2736452.52787559
perm47	2740958.8421468
perm11	2740977.30631756
perm8	2767781.82080742
perm44	2768049.48192272
perm17	2768052.54371092
perm3	2768224.68527436
perm39	2769011.60323112
perm7	2769018.45076963
perm36	2769018.46254658
perm28	2769046.00080898
perm19	2773130.43701766
perm1	2782673.16175985
perm21	2784079.21300583
perm14	2785118.00128455
perm35	2802388.63290611
perm31	2812091.73314122
perm20	2813260.50019346
perm24	2815115.35522088
perm40	2815782.20873818
perm25	2815840.79910723
perm30	2823973.95776899
perm15	2831107.57932729
perm18	2841346.3620904
perm29	2841394.68329769
perm50	2841395.38551819
perm23	2850745.78050424
perm13	2864405.75146376
perm26	2869269.25377542
perm16	2885795.77071093
perm37	2887091.12247141
perm34	2893591.84693453
perm41	2935650.48375164
perm6	2964728.09770023
perm2	2978662.59356008
perm32	2985889.61468432
perm42	2994419.83022273
perm43	3222051.78039127
perm22	3243066.25344366
perm49	3334701.56075767
perm4	3565637.12894296
perm45	3756740.84956149
perm33	4387702.95502284
