Permutation	/Users/alex/Desktop/BioNetFit_v1/examples/example5/example5_example5
perm11	2720899.85485105
perm15	2720919.64691934
perm39	2721818.72639135
perm25	2721819.52037357
perm6	2721820.37072096
perm31	2721820.97177012
perm33	2722146.30893015
perm38	2722188.70854918
perm37	2722189.66031642
perm12	2722193.09470047
perm28	2723646.05622235
perm19	2723838.54969037
perm24	2724286.50130809
perm50	2724299.78736543
perm13	2724340.85878856
perm43	2724350.28340128
perm17	2724728.57667711
perm5	2724995.67836585
perm23	2725741.61446486
perm27	2725924.75064767
perm18	2726713.2449736
perm32	2726729.52417264
perm44	2726729.61398211
perm16	2726763.61557336
perm10	2726848.43519721
perm4	2727830.92460696
perm45	2727982.79542456
perm9	2731315.84597794
perm14	2731968.70291315
perm7	2731971.78902945
perm21	2735637.1101873
perm22	2737630.35176145
perm26	2742761.18399822
perm8	2774318.63431793
perm47	2784340.21096538
perm29	2820005.06834321
perm2	2861516.84759253
perm34	2881547.78434981
perm46	2926275.80892134
perm48	2988333.98443837
perm36	3038049.70518474
perm20	3087462.20456675
perm41	3122158.71478207
perm49	3148422.34253636
perm1	3155932.95274009
perm35	3157591.72463259
perm42	3229593.96861107
perm30	3258350.36712052
perm40	3359009.71071553
perm3	3580539.95383202
