Permutation	/Users/alex/Desktop/BioNetFit_v1/examples/example5/example5_example5
perm27	2978961.97915882
perm4	2978975.91185037
perm38	2978976.24449158
perm17	2979011.60331657
perm41	3000218.54413509
perm8	3002593.75755943
perm12	3002623.7384903
perm28	3004470.78307857
perm5	3005551.94182961
perm46	3005620.90270256
perm37	3006169.77205342
perm24	3007757.50888889
perm13	3007769.34604413
perm30	3010883.7260948
perm34	3010883.76126009
perm29	3010883.77359738
perm20	3010912.69895737
perm45	3014460.00427609
perm50	3025505.40957508
perm47	3031485.9802956
perm26	3035008.33892413
perm14	3039862.77830777
perm1	3039880.5928533
perm11	3039880.8957732
perm42	3039974.85418489
perm48	3040011.89959883
perm32	3052922.93811521
perm9	3055174.38245545
perm44	3056722.48213871
perm15	3066826.40374791
perm22	3067391.93392766
perm25	3067615.15325087
perm2	3069548.88188185
perm3	3136057.6325148
perm36	3146476.11339909
perm23	3159571.88265113
perm16	3159669.22746422
perm10	3165328.99493447
perm49	3182799.87817042
perm18	3190872.98703765
perm35	3208164.63084699
perm40	3212370.58685296
perm33	3266155.91258645
perm7	3284801.20866105
perm43	3601587.17259831
perm31	3631017.99469866
perm39	3644619.75044222
perm6	3651428.508823
perm21	3850572.69329697
perm19	3984721.59494403
