Permutation	/Users/alex/Desktop/BioNetFit_v1/examples/example5/example5_example5
perm23	3153500.32783884
perm24	3830854.41866392
perm18	3986252.53114714
perm12	4000183.73637132
perm22	4026221.98375653
perm46	4029795.36877089
perm7	4039198.70466167
perm47	4042289.73506695
perm11	4057680.86028166
perm13	4063525.65136835
perm20	4068616.12850916
perm31	4091756.66251563
perm39	4136477.5467074
perm19	4140364.10747982
perm21	4144753.68140526
perm43	4197555.03031707
perm35	4207143.30675693
perm45	4215581.82047258
perm17	4224658.89852178
perm25	4227605.07343947
perm37	4228686.94710514
perm8	4240046.70601943
perm32	4319675.66875307
perm44	4392991.72785661
perm16	4421338.95793037
perm28	4488701.25175155
perm36	4513489.62971988
perm27	4543593.00899151
perm10	4582206.16934682
perm9	4603339.78172087
perm15	4603915.21599457
perm26	4615834.14465529
perm38	4677859.93978209
perm14	4976243.81661036
perm40	5099522.9283555
perm3	5305502.47260752
perm48	16257306.6144204
perm4	49818421.8283684
perm6	230363223.918404
perm1	231039152.230436
perm34	235413333.985135
perm42	248983114.320769
perm50	252549571.229647
perm30	254263510.870823
perm5	310603386.123173
perm33	311651860.94055
perm2	311677006.573696
perm41	322621317.336311
perm49	336349673.663858
perm29	338573262.500732
