Permutation	/Users/alex/Desktop/BioNetFit_v1/examples/example5/example5_example5
perm15	4199914.92324063
perm2	4208356.8702708
perm37	4595577.50387417
perm6	6489124.239788
perm43	9343308.22821954
perm7	10880092.1799495
perm50	11628858.8122761
perm41	11723476.1619342
perm33	12855119.7301399
perm4	16160567.8736131
perm38	16700635.2503872
perm26	16837802.9638174
perm25	17429478.1587973
perm9	21230006.8953281
perm31	22162780.9968056
perm34	24141931.4501678
perm19	27456138.7082441
perm47	31674970.6306412
perm13	47564455.4191402
perm48	49449327.99283
perm3	58497144.4636378
perm8	64855192.4247569
perm16	69557993.1533738
perm28	69740034.405788
perm49	82271221.5788414
perm44	86735136.4990521
perm42	96626991.6355172
perm24	108674407.502118
perm10	111791855.209341
perm40	112556568.617873
perm27	127802239.860541
perm20	135088373.548226
perm32	143524368.528631
perm18	154167510.663383
perm11	176381584.86722
perm14	183942019.141715
perm5	187689463.924567
perm39	190965133.278763
perm30	209964344.613196
perm12	241235425.696112
perm17	245149092.793183
perm29	245808093.195625
perm1	258246061.735319
perm35	268722314.517487
perm22	276354797.2304
perm21	283019290.508228
perm46	291142740.736401
perm23	337295761.954042
perm36	343072839.649888
perm45	356689529.147711
