Permutation	/Users/alex/Desktop/BioNetFit_v1/examples/example5/example5_example5
perm41	3083098.57262743
perm4	3096836.80313922
perm5	3111224.59894015
perm10	3111227.33350553
perm11	3147319.62470806
perm39	3150587.62449942
perm32	3150588.41373916
perm35	3153421.18325191
perm7	3153449.8514165
perm6	3153450.67499306
perm38	3153499.35668481
perm1	3153499.40707113
perm49	3153499.58079881
perm9	3153499.59366514
perm12	3153499.63112927
perm14	3153499.7749381
perm19	3153500.24699403
perm37	3153500.35023759
perm44	3153603.04133983
perm8	3168048.17136059
perm22	3170429.57295325
perm50	3172062.51468844
perm34	3172155.39680739
perm36	3172155.96416523
perm16	3175539.29961933
perm2	3180823.89484063
perm17	3190980.72704993
perm30	3201368.61533693
perm3	3205186.68675465
perm28	3205186.7429825
perm43	3205186.92065931
perm47	3205186.92065931
perm45	3217594.70936169
perm40	3230192.83506998
perm29	3237395.55403868
perm42	3259374.66228554
perm27	3282866.8008194
perm25	3433246.42579538
perm24	3451809.99612
perm48	3482982.95398133
perm21	3492768.60509122
perm23	3571775.20410745
perm20	3613845.54519812
perm33	3656203.48681813
perm46	3698239.236962
perm13	3740440.78573318
perm26	4277361.22241355
perm31	4533518.35620342
perm18	5014964.63304788
perm15	5428007.68739537
