Permutation	/Users/alex/Desktop/BioNetFit_v1/examples/example5/example5_example5
perm50	3045362.32544877
perm23	3045911.93292572
perm32	3056016.66247904
perm38	3056019.64755517
perm42	3056019.80516117
perm43	3056056.37717115
perm46	3056693.25479178
perm45	3064368.86551883
perm44	3064379.90938662
perm4	3071479.38553336
perm19	3075604.35688822
perm47	3076938.05088796
perm5	3078274.13484463
perm33	3078275.8971296
perm13	3081526.08638678
perm6	3082525.64185553
perm21	3084393.11873869
perm29	3084393.13209996
perm8	3086546.2037597
perm40	3087663.442331
perm41	3089795.09975163
perm31	3092030.34569556
perm37	3096833.53543555
perm22	3096837.01662293
perm11	3104274.63343189
perm10	3104877.01313079
perm12	3111209.84123058
perm39	3111224.73767566
perm48	3111226.73877373
perm35	3111226.90387709
perm14	3111227.03968774
perm20	3111227.99267925
perm1	3113903.16767453
perm15	3125237.97637375
perm25	3153449.22337554
perm26	3166843.0581627
perm49	3216052.22413839
perm9	3233069.1772002
perm18	3250718.97989959
perm28	3299638.64413942
perm17	3315917.15267875
perm36	3381457.64152455
perm16	3403418.05661531
perm27	3423663.49597286
perm24	3423702.23834325
perm30	3427992.64107695
perm7	3501253.85652306
perm2	3565981.62013978
perm34	3577469.30722803
perm3	6242964.55127502
