Permutation	/Users/alex/Desktop/BioNetFit_v1/examples/example5/example5_example5
perm34	2946246.38299718
perm20	2949864.77189961
perm30	2952789.80159674
perm15	2972037.4830864
perm46	2973053.12068996
perm25	2973061.03200805
perm9	2973813.06339974
perm26	2975412.08270777
perm42	2975480.6673314
perm7	2977632.11425189
perm32	2978453.52887088
perm28	2978961.97710633
perm41	2978975.58016996
perm6	2978975.67615842
perm18	2978975.91179619
perm2	2978976.4943641
perm48	2979000.52364901
perm11	2979011.16995745
perm31	2979012.41054284
perm45	2979032.47958991
perm8	2979046.87359287
perm33	2983234.02217473
perm39	2987419.49991169
perm43	2991781.51918585
perm27	2991789.69534462
perm5	2993299.69555001
perm50	2997550.28034371
perm37	3005454.06208885
perm21	3005620.90270256
perm35	3022607.94675298
perm44	3030658.46311256
perm22	3036079.59833589
perm24	3054791.92853507
perm49	3056003.9939975
perm13	3061675.93829266
perm40	3067294.72764251
perm10	3081401.11119998
perm19	3087769.05256625
perm47	3108148.02821359
perm14	3130677.15692244
perm3	3176275.64138581
perm1	3327993.08333189
perm17	3365275.10307545
perm23	3373691.38943369
perm16	3425978.1566979
perm38	3483069.64704724
perm36	3525908.11821795
perm12	3579731.49223759
perm4	3721792.15115366
perm29	3787723.32192894
