Permutation	/Users/alex/Desktop/BioNetFit_v1/examples/example5/example5_example5
perm45	3990713.6687456
perm41	4008851.46435829
perm28	4044462.72500669
perm11	4061469.93316112
perm14	4064904.4857427
perm1	4069616.49939013
perm49	4073282.56961806
perm37	4085617.44542549
perm30	4107108.46944398
perm25	4133393.66109162
perm36	4147105.32775532
perm46	4151639.94889453
perm8	4181798.72357086
perm44	4186463.77782258
perm43	4189005.82306681
perm10	4208457.22672178
perm26	4210877.49866398
perm39	4318248.68475622
perm38	4318259.24641708
perm4	4330448.91395081
perm50	4334147.36597136
perm7	4342279.71497948
perm9	4356030.78171264
perm24	4387616.63053918
perm42	4476966.12495575
perm6	4484726.0754124
perm2	4508049.35295163
perm35	4526565.06338525
perm23	4559593.56630633
perm40	4625379.75391267
perm12	4929547.58820165
perm13	4939651.55651582
perm27	5195777.88743176
perm3	5202575.84678463
perm29	5237164.13349156
perm16	17944470.6210082
perm20	19881805.8122025
perm32	20084590.7258709
perm5	22466211.6811979
perm19	36848316.5693441
perm31	52285322.8954774
perm15	55682459.0573517
perm47	254407888.552095
perm18	255625531.178312
perm21	257220421.228506
perm34	258700025.241948
perm48	329414719.601387
perm33	336961461.437348
perm22	337236596.355088
perm17	337643353.637822
