Permutation	/Users/alex/Desktop/BioNetFit_v1/examples/example5/example5_example5
perm3	2806438.0505497
perm17	2811072.80852808
perm39	2816753.47354187
perm20	2817159.74232774
perm24	2817160.87886031
perm33	2817208.05290456
perm5	2827806.84845855
perm4	2840099.24412362
perm12	2854023.75824784
perm48	2855320.61010166
perm37	2864904.11583565
perm22	2865003.45555668
perm36	2865061.1051684
perm16	2865777.73917111
perm32	2867872.03127376
perm29	2868773.74326221
perm11	2873960.25623588
perm13	2874652.18415052
perm1	2876543.3131577
perm19	2877814.32790649
perm14	2878937.14793878
perm15	2879946.61086496
perm34	2882401.20969548
perm21	2884619.87413321
perm35	2910682.98021491
perm2	2918797.38734039
perm50	2925445.84499484
perm44	2934179.55365386
perm27	2946235.29204617
perm38	2946987.18433649
perm26	2948828.07276979
perm18	2955009.12258611
perm6	2955122.37980613
perm47	2962094.18901735
perm41	2986343.76701104
perm25	3097730.65396134
perm43	3099973.00370126
perm7	3126752.71710569
perm40	3158825.83900797
perm23	3169262.8325698
perm28	3258669.88036637
perm31	3267065.37635856
perm10	3550757.44629749
perm49	3596897.95885534
perm30	3646650.12314013
perm42	3778804.38522512
perm8	3815596.44494782
perm9	4194034.15767431
perm45	4461503.17362233
perm46	5391701.71778148
