Permutation	/Users/alex/Desktop/BioNetFit_v1/examples/example5/example5_example5
perm42	2731867.94876076
perm19	2731869.29448756
perm28	2731872.13540075
perm43	2740977.55162426
perm46	2769014.13392468
perm16	2769016.53176749
perm20	2769016.57210066
perm35	2769016.70435884
perm44	2769016.71715258
perm24	2769029.5108552
perm12	2769170.62867496
perm14	2772521.93522667
perm13	2775001.33323698
perm9	2775354.86486277
perm29	2775722.38781557
perm15	2777174.07862582
perm31	2777174.23249942
perm25	2777174.42200247
perm23	2777174.521764
perm32	2777175.50629859
perm27	2777175.52070003
perm4	2777175.74391417
perm22	2777712.22473433
perm39	2777712.51491929
perm6	2778292.50612112
perm47	2778757.52340809
perm21	2780172.51514834
perm10	2785290.17057162
perm30	2785508.62021152
perm26	2794774.29534717
perm7	2796917.31454937
perm49	2797587.7947612
perm37	2839103.37946275
perm45	2844310.5363664
perm48	2850938.5504264
perm50	2851661.94408114
perm34	2861473.4546017
perm38	2882453.74303209
perm1	2885362.82975957
perm5	2886157.36090904
perm36	2897884.03934389
perm2	2963060.35976399
perm18	3046727.65286328
perm41	3050896.13622913
perm40	3135336.61609538
perm3	3136131.07598087
perm33	3196741.94302119
perm11	3203398.21682588
perm8	3238881.95517113
perm17	3275694.03700754
