Permutation	/Users/alex/Desktop/BioNetFit_v1/examples/example5/example5_example5
perm19	3153500.32783884
perm30	4064904.48588763
perm23	4073865.61335543
perm10	4081482.65721222
perm35	4110763.64439933
perm18	4140921.33150193
perm3	4188005.67686196
perm31	4190234.36520439
perm28	4207218.4818159
perm42	4298772.6805156
perm7	4318259.24968888
perm41	4329993.85786269
perm32	4364781.6267075
perm33	4526811.85532696
perm24	4532059.56427842
perm8	4536718.82281067
perm50	4537819.03145731
perm26	4558616.37340342
perm4	4605499.15702482
perm11	4645991.2222533
perm25	4676960.77683512
perm34	4695383.2024137
perm49	4904641.16078315
perm9	5127068.63705418
perm12	5999898.7194259
perm16	6312663.22117306
perm17	7757469.85061907
perm46	8834828.631926
perm38	9158508.92092725
perm20	9339147.1421088
perm36	10057229.309337
perm15	10221210.3290809
perm27	10537380.9546279
perm29	10647311.9422844
perm1	10717452.6648782
perm45	11479261.3343446
perm44	13484208.9670018
perm14	37509382.8769947
perm2	43610042.0003635
perm13	196535729.26787
perm47	223677717.881177
perm40	225048818.05276
perm37	247842194.259
perm6	282411611.982595
perm5	286949236.245048
perm21	287122944.803822
perm43	290943952.998936
perm39	320794389.670572
perm48	336275949.57073
perm22	344059710.214
