Permutation	/Users/alex/Desktop/BioNetFit_v1/examples/example5/example5_example5
perm42	2785540.65459228
perm15	2806438.02342024
perm46	2811056.67203524
perm48	2811072.6688527
perm19	2811072.81208507
perm8	2816034.62130038
perm6	2816718.09479592
perm3	2816741.230346
perm7	2817007.33440441
perm47	2817159.47081113
perm39	2817159.67507658
perm13	2817159.73086621
perm18	2817160.06617213
perm14	2817160.87885526
perm9	2817160.88711058
perm44	2817164.09067752
perm1	2817165.39058781
perm2	2817167.63234419
perm4	2823207.68384775
perm22	2824255.01720946
perm17	2827806.75529535
perm37	2835178.0421865
perm11	2840099.24892532
perm27	2854007.83062461
perm12	2855320.57811321
perm49	2871085.73193672
perm20	2873948.83335114
perm36	2876548.12443212
perm45	2876987.73150242
perm28	2876994.05095889
perm33	2898195.589466
perm41	2912492.22369071
perm35	2917257.97789578
perm34	2933203.96854043
perm26	2940391.45978571
perm29	2948383.8383649
perm16	2953541.16750795
perm40	2966882.60034469
perm30	2968486.72808259
perm38	3001994.79682716
perm21	3020047.21651104
perm10	3068719.13280362
perm25	3095958.29940541
perm31	3233383.577755
perm5	3282425.34462745
perm43	3510046.04893492
perm23	3559081.86800713
perm32	3647026.293603
perm50	3651960.98628831
perm24	3878690.3765428
