Permutation	/Users/alex/Desktop/BioNetFit_v1/examples/example5/example5_example5
perm26	2704275.23531896
perm36	2705679.77691237
perm14	2707339.72275272
perm43	2707348.89257062
perm1	2707352.51083257
perm16	2709606.81317715
perm44	2709806.43402444
perm13	2711235.08460204
perm22	2711270.87704631
perm35	2711272.22330187
perm33	2711532.2474056
perm3	2712822.91272188
perm6	2712953.15505533
perm4	2713033.08425486
perm50	2713125.62787552
perm29	2713126.264466
perm38	2713126.47455789
perm49	2713348.20387891
perm47	2713585.75169952
perm27	2713586.28441288
perm32	2713586.37980589
perm30	2713592.24845371
perm39	2713612.35805328
perm5	2713612.54115553
perm48	2714294.7001007
perm10	2714295.50154252
perm25	2714706.15094442
perm42	2714780.39220998
perm9	2715495.76371002
perm24	2715566.42101891
perm12	2717698.97069067
perm18	2719940.33788842
perm11	2722236.67483746
perm20	2724179.10056833
perm2	2725088.27764454
perm23	2762376.08341641
perm40	2764292.32189428
perm46	2772810.4139642
perm7	2775474.6295544
perm41	2879628.818928
perm28	2970530.34081669
perm15	2992101.46983411
perm17	3020426.34728565
perm19	3056721.34735104
perm31	3059974.91663524
perm21	3090642.5378289
perm37	3111081.66860567
perm45	3155891.75473788
perm34	3267259.26274583
perm8	3287284.25747797
