Permutation	/Users/alex/Desktop/BioNetFit_v1/examples/example5/example5_example5
perm17	3153499.6365104
perm39	4318248.68471998
perm32	6312662.81042052
perm9	8613049.0744668
perm2	9461382.7690214
perm20	10221210.3398361
perm16	10783583.7643833
perm40	11301856.1295999
perm18	11457623.0160773
perm48	11781425.7054423
perm50	11859123.5668106
perm8	12069615.9062857
perm35	15765901.9180047
perm30	16392533.2973054
perm1	16393662.8823381
perm49	21117696.377335
perm31	22962186.5044165
perm15	27363165.6025181
perm5	37845335.5035909
perm38	39004157.0641778
perm46	44201190.6028578
perm36	44573441.6838554
perm19	52005855.2568829
perm10	57947593.4238439
perm27	59483240.8699308
perm37	67299506.6026767
perm24	71480507.5468459
perm33	79350079.6597209
perm21	80237983.2489581
perm34	126393280.950789
perm45	140884300.167524
perm28	144722895.108373
perm22	152781052.189201
perm6	167138527.707392
perm25	171214736.416672
perm29	177952013.625685
perm4	232204550.298836
perm47	236474075.343118
perm26	240332228.080309
perm3	242686226.301604
perm23	254984196.032817
perm14	268948878.68558
perm13	270655623.284404
perm41	277350891.377966
perm7	279922469.867365
perm42	281557574.369663
perm43	285248381.620208
perm12	293476245.026624
perm11	359686980.132216
perm44	362678576.468719
